FMP45:TCB3
FMP45:ITR1
FLC2:FMP45
FMP45:YGL108C
YBL029C-A:HXT5
FMP45:HXT5
FMP45:TPO3
FMP45:TPO2
FMP45:HNM1
FMP45:FCY2
FMP45:FMP45
CLUSTER_BREAK
DHH1:DHH1
MET3:MET3
MUP1:MUP1
PST2:MUP1
MUP1:TCB3
MUP1:PDR12
CLUSTER_BREAK
GPA2:FTR1
PST2:FTR1
FTR1:HNM1
FTR1:FLC1
FTR1:TPO3
FTR1:PDR12
FTR1:TPO2
FTR1:HXT1

