PPI	ORF1	ORF2	 Gene1	 Gene2	Log2(R) P1	Log2(R) P2	I-score
YKL130C_YML056C	YKL130C	YML056C	SHE2	IMD4	0.158579121	0.231210912	NA
YKL139W_YOL012C	YKL139W	YOL012C	CTK1	HTZ1	NA	0.299720694	NA
YKL140W_YBR041W	YKL140W	YBR041W	TGL1	FAT1	0.362984496	0.364221478	0.39352836
YKL144C_YOR116C	YKL144C	YOR116C	RPC25	RPO31	NA	0.396411814	NA
YKL145W_YDR394W	YKL145W	YDR394W	RPT1	RPT3	0.774758569	0.490235857	0.947434818
YKL145W_YHR027C	YKL145W	YHR027C	RPT1	RPN1	0.774758569	0.960583188	0.673960753
YKL145W_YOR117W	YKL145W	YOR117W	RPT1	RPT5	0.774758569	NA	0.822105626
YKL145W_YOR259C	YKL145W	YOR259C	RPT1	RPT4	0.774758569	0.419294619	1.431190306
YKL145W_YOR261C	YKL145W	YOR261C	RPT1	RPN8	0.774758569	0.786388877	NA
YKL145W_YOR273C	YKL145W	YOR273C	RPT1	TPO4	0.774758569	0.160732349	NA
YKL159C_YKL190W	YKL159C	YKL190W	RCN1	CNB1	NA	0.902719465	-0.347873224
YKL164C_YNL197C	YKL164C	YNL197C	PIR1	WHI3	0.083697169	0.238653836	NA
YKL165C_YML012W	YKL165C	YML012W	MCD4	ERV25	0.342355818	0.339932899	-0.633868382
YKL171W_YNL229C	YKL171W	YNL229C	NNK1	URE2	NA	0.642881953	NA
YKL172W_YDR060W	YKL172W	YDR060W	EBP2	MAK21	NA	0.707606611	1.29195228
YKL172W_YFR001W	YKL172W	YFR001W	EBP2	LOC1	NA	0.289715438	NA
YKL172W_YLR196W	YKL172W	YLR196W	EBP2	PWP1	NA	0.765763874	1.036179666
YKL172W_YLR449W	YKL172W	YLR449W	EBP2	FPR4	NA	1.067185505	0.891023123
YKL172W_YNL002C	YKL172W	YNL002C	EBP2	RLP7	NA	NA	0.689733351
YKL172W_YNL255C	YKL172W	YNL255C	EBP2	GIS2	NA	0.743426143	NA
YKL172W_YOL077C	YKL172W	YOL077C	EBP2	BRX1	NA	0.641755909	-0.032918858
YKL172W_YOR206W	YKL172W	YOR206W	EBP2	NOC2	NA	0.782673369	NA
YKL172W_YOR294W	YKL172W	YOR294W	EBP2	RRS1	NA	NA	2.206726914
