PPI	ORF1	ORF2	 Gene1	 Gene2	Log2(R) P1	Log2(R) P2	I-score
YMR093W_YGR128C	YMR093W	YGR128C	UTP15	UTP8	0.639105069	0.733736304	0.389921016
YMR093W_YHR196W	YMR093W	YHR196W	UTP15	UTP9	0.639105069	0.77941806	NA
YMR096W_YMR096W	YMR096W	YMR096W	SNZ1	SNZ1	NA	NA	-0.097507932
YMR105C_YML058W-A	YMR105C	YML058W-A	PGM2	HUG1	1.340283998	2.611237053	-0.395730889
YMR109W_YBR234C	YMR109W	YBR234C	MYO5	ARC40	0.456482294	0.615961767	-0.231966972
YMR109W_YGL242C	YMR109W	YGL242C	MYO5	YGL242C	0.456482294	NA	0.488221016
YMR109W_YHR114W	YMR109W	YHR114W	MYO5	BZZ1	0.456482294	0.419964517	-0.541847813
YMR109W_YIL062C	YMR109W	YIL062C	MYO5	ARC15	0.456482294	0.470923256	0.128705764
YMR109W_YKL013C	YMR109W	YKL013C	MYO5	ARC19	0.456482294	0.648221252	0.285705439
YMR109W_YLR337C	YMR109W	YLR337C	MYO5	VRP1	0.456482294	0.505580967	0.640274517
YMR109W_YMR109W	YMR109W	YMR109W	MYO5	MYO5	0.456482294	0.456482294	0.27666102
YMR109W_YOR181W	YMR109W	YOR181W	MYO5	LAS17	0.456482294	0.135178981	-0.196428105
YMR109W_YOR247W	YMR109W	YOR247W	MYO5	SRL1	0.456482294	0.053904995	NA
YMR125W_YPL178W	YMR125W	YPL178W	STO1	CBC2	0.719185364	0.625496576	0.34888928
YMR128W_YMR229C	YMR128W	YMR229C	ECM16	RRP5	0.548745226	0.547479938	NA
YMR128W_YOR294W	YMR128W	YOR294W	ECM16	RRS1	0.548745226	NA	NA
YMR134W_YJL117W	YMR134W	YJL117W	YMR134W	PHO86	0.384145383	0.878236387	0.421592456
YMR139W_YMR291W	YMR139W	YMR291W	RIM11	TDA1	0.848902259	0.292911357	NA
YMR139W_YOL059W	YMR139W	YOL059W	RIM11	GPD2	0.848902259	0.161018718	NA
YMR191W_YOR259C	YMR191W	YOR259C	SPG5	RPT4	NA	0.419294619	NA
YMR212C_YGR198W	YMR212C	YGR198W	EFR3	YPP1	0.443935324	0.58505246	-0.51778898
YMR229C_YNL002C	YMR229C	YNL002C	RRP5	RLP7	0.547479938	NA	0.501217073
YMR229C_YOL077C	YMR229C	YOL077C	RRP5	BRX1	0.547479938	0.641755909	0.75201368
YMR229C_YOR206W	YMR229C	YOR206W	RRP5	NOC2	0.547479938	0.782673369	1.046646998
YMR229C_YPL012W	YMR229C	YPL012W	RRP5	RRP12	0.547479938	0.52140855	NA
YMR229C_YPL043W	YMR229C	YPL043W	RRP5	NOP4	0.547479938	0.417997029	NA
YMR239C_YPL190C	YMR239C	YPL190C	RNT1	NAB3	0.535365024	0.105450566	NA
YMR264W_YNL031C	YMR264W	YNL031C	CUE1	HHT2	0.378037271	0.354156414	NA
YMR290C_YNL154C	YMR290C	YNL154C	HAS1	YCK2	NA	0.424434963	NA
YNL002C_YNR053C	YNL002C	YNR053C	RLP7	NOG2	NA	0.424005323	NA
YNL002C_YOR206W	YNL002C	YOR206W	RLP7	NOC2	NA	0.782673369	NA
YNL002C_YPL043W	YNL002C	YPL043W	RLP7	NOP4	NA	0.417997029	NA
YNL002C_YPR016C	YNL002C	YPR016C	RLP7	TIF6	NA	0.290010849	NA
YNL006W_YNL183C	YNL006W	YNL183C	LST8	NPR1	0.477711389	0.519551263	NA
YNL007C_YNL007C	YNL007C	YNL007C	SIS1	SIS1	1.261512219	1.261512219	0.278988015
YNL007C_YNL229C	YNL007C	YNL229C	SIS1	URE2	1.261512219	0.642881953	NA
YNL031C_YJL115W	YNL031C	YJL115W	HHT2	ASF1	0.354156414	0.482834902	0.587899047
YNL031C_YLL022C	YNL031C	YLL022C	HHT2	HIF1	0.354156414	0.52604851	0.721756721
YNL031C_YNL031C	YNL031C	YNL031C	HHT2	HHT2	0.354156414	0.354156414	0.34440413
YNL031C_YPL101W	YNL031C	YPL101W	HHT2	ELP4	0.354156414	NA	NA
YNL031C_YPL209C	YNL031C	YPL209C	HHT2	IPL1	0.354156414	0.391061221	NA
YNL031C_YPR016C	YNL031C	YPR016C	HHT2	TIF6	0.354156414	0.290010849	NA
YNL041C_YER157W	YNL041C	YER157W	COG6	COG3	0.46171094	0.236183771	-0.408576844
YNL071W_YER178W	YNL071W	YER178W	LAT1	PDA1	-0.190853797	0.053634383	NA
YNL091W_YNL288W	YNL091W	YNL288W	NST1	CAF40	0.202358144	0.787684296	-0.790238093
YNL093W_YOR089C	YNL093W	YOR089C	YPT53	VPS21	NA	1.219076564	NA
YNL102W_YNR052C	YNL102W	YNR052C	POL1	POP2	0.411247309	0.230618553	NA
YNL103W_YNL272C	YNL103W	YNL272C	MET4	SEC2	0.289880801	0.223166224	NA
YNL110C_YPR143W	YNL110C	YPR143W	NOP15	RRP15	0.880663271	0.452533974	NA
YNL112W_YGL120C	YNL112W	YGL120C	DBP2	PRP43	0.596534211	0.685673412	NA
YNL112W_YGR159C	YNL112W	YGR159C	DBP2	NSR1	0.596534211	0.679868048	0.691493329
YNL112W_YMR290C	YNL112W	YMR290C	DBP2	HAS1	0.596534211	NA	1.321115721
YNL112W_YNL255C	YNL112W	YNL255C	DBP2	GIS2	0.596534211	0.743426143	0.168530788
YNL118C_YCR077C	YNL118C	YCR077C	DCP2	PAT1	0.434967157	0.278788585	0.332588806
YNL118C_YDL160C	YNL118C	YDL160C	DCP2	DHH1	0.434967157	0.644020755	0.049573446
YNL118C_YDR293C	YNL118C	YDR293C	DCP2	SSD1	0.434967157	0.524696282	NA
YNL118C_YEL015W	YNL118C	YEL015W	DCP2	EDC3	0.434967157	0.659375969	-0.395114875
YNL118C_YER112W	YNL118C	YER112W	DCP2	LSM4	0.434967157	0.836821179	-0.360733752
YNL118C_YKL054C	YNL118C	YKL054C	DCP2	DEF1	0.434967157	0.195793887	-0.868659006
YNL118C_YLR438C-A	YNL118C	YLR438C-A	DCP2	LSM3	0.434967157	0.919337952	0.704356768
YNL118C_YMR080C	YNL118C	YMR080C	DCP2	NAM7	0.434967157	-0.133101703	0.432516533
YNL118C_YPR129W	YNL118C	YPR129W	DCP2	SCD6	0.434967157	0.666668399	-0.257201815
YNL121C_YML086C	YNL121C	YML086C	TOM70	ALO1	0.568901468	0.534484646	0.604178683
YNL136W_YNL246W	YNL136W	YNL246W	EAF7	VPS75	0.347407094	0.306536262	NA
YNL138W_YGR080W	YNL138W	YGR080W	SRV2	TWF1	0.476724603	0.556934417	NA
YNL138W_YNL138W	YNL138W	YNL138W	SRV2	SRV2	0.476724603	0.476724603	0.132215694
YNL153C_YNL255C	YNL153C	YNL255C	GIM3	GIS2	0.423421544	0.743426143	NA
YNL154C_YDR264C	YNL154C	YDR264C	YCK2	AKR1	0.424434963	0.574685416	NA
YNL175C_YPL211W	YNL175C	YPL211W	NOP13	NIP7	0.305931581	0.610519937	NA
YNL183C_YPL204W	YNL183C	YPL204W	NPR1	HRR25	0.519551263	0.387598535	NA
YNL183C_YPR135W	YNL183C	YPR135W	NPR1	CTF4	0.519551263	0.39929005	NA
YNL197C_YDL160C	YNL197C	YDL160C	WHI3	DHH1	0.238653836	0.644020755	-0.405331202
YNL197C_YNL327W	YNL197C	YNL327W	WHI3	EGT2	0.238653836	0.032219424	NA
YNL197C_YOR204W	YNL197C	YOR204W	WHI3	DED1	0.238653836	NA	1.116257006
YNL197C_YPL006W	YNL197C	YPL006W	WHI3	NCR1	0.238653836	0.515042384	NA
YNL197C_YPL265W	YNL197C	YPL265W	WHI3	DIP5	0.238653836	0.03452203	NA
YNL197C_YPR138C	YNL197C	YPR138C	WHI3	MEP3	0.238653836	-0.057733896	NA
YNL214W_YGL153W	YNL214W	YGL153W	PEX17	PEX14	0.549934456	0.417955596	-0.454953978
YNL214W_YNL214W	YNL214W	YNL214W	PEX17	PEX17	0.549934456	0.549934456	-0.564299293
YNL246W_YNL246W	YNL246W	YNL246W	VPS75	VPS75	0.306536262	0.306536262	-0.289098599
YNL247W_YNL247W	YNL247W	YNL247W	YNL247W	YNL247W	0.193578739	0.193578739	0.003192508
YNL248C_YNL248C	YNL248C	YNL248C	RPA49	RPA49	0.817362383	0.817362383	-1.192183976
YNL248C_YOR340C	YNL248C	YOR340C	RPA49	RPA43	0.817362383	0.310678549	NA
YNL248C_YOR341W	YNL248C	YOR341W	RPA49	RPA190	0.817362383	0.042092391	NA
YNL248C_YPR010C	YNL248C	YPR010C	RPA49	RPA135	0.817362383	0.111052273	NA
YNL248C_YPR187W	YNL248C	YPR187W	RPA49	RPO26	0.817362383	0.636544373	NA
YNL255C_YCL037C	YNL255C	YCL037C	GIS2	SRO9	0.743426143	0.72255521	0.418807953
YNL255C_YER112W	YNL255C	YER112W	GIS2	LSM4	0.743426143	0.836821179	0.111023308
YNL255C_YNL112W	YNL255C	YNL112W	GIS2	DBP2	0.743426143	0.596534211	-0.413208133
YNL255C_YNL255C	YNL255C	YNL255C	GIS2	GIS2	0.743426143	0.743426143	1.360807069
YNL255C_YNR051C	YNL255C	YNR051C	GIS2	BRE5	0.743426143	0.223219414	1.010260165
YNL255C_YOR054C	YNL255C	YOR054C	GIS2	VHS3	0.743426143	NA	NA
YNL255C_YOR204W	YNL255C	YOR204W	GIS2	DED1	0.743426143	NA	0.136073871
YNL255C_YPL119C	YNL255C	YPL119C	GIS2	DBP1	0.743426143	0.853494616	0.508674501
YNL255C_YPL127C	YNL255C	YPL127C	GIS2	HHO1	0.743426143	-0.026416425	NA
YNL265C_YKR035W-A	YNL265C	YKR035W-A	IST1	DID2	0.60811322	0.479816466	0.027481911
YNL288W_YCR093W	YNL288W	YCR093W	CAF40	CDC39	0.787684296	0.736186448	0.408234231
YNL288W_YER068W	YNL288W	YER068W	CAF40	MOT2	0.787684296	0.02102958	-0.253043224
YNL288W_YIL038C	YNL288W	YIL038C	CAF40	NOT3	0.787684296	0.494370096	0.471025934
YNL288W_YNL091W	YNL288W	YNL091W	CAF40	NST1	0.787684296	0.202358144	-0.528695215
YNL288W_YNL288W	YNL288W	YNL288W	CAF40	CAF40	0.787684296	0.787684296	-0.366478614
YNL288W_YNR052C	YNL288W	YNR052C	CAF40	POP2	0.787684296	0.230618553	0.560529756
YNL288W_YPR072W	YNL288W	YPR072W	CAF40	NOT5	0.787684296	0.314186187	-0.197457946
YNL307C_YOL147C	YNL307C	YOL147C	MCK1	PEX11	0.364272669	0.340416759	-0.723517619
YNL308C_YDL208W	YNL308C	YDL208W	KRI1	NHP2	0.359571654	0.389142035	-0.371102009
YNL308C_YPL012W	YNL308C	YPL012W	KRI1	RRP12	0.359571654	0.52140855	NA
YNL311C_YOR027W	YNL311C	YOR027W	SKP2	STI1	0.263068736	0.655563897	NA
YNL323W_YER166W	YNL323W	YER166W	LEM3	DNF1	0.326292855	0.359837956	0.306373866
YNL329C_YKL197C	YNL329C	YKL197C	PEX6	PEX1	0.484063907	0.33818658	-0.37919103
YNR006W_YHL002W	YNR006W	YHL002W	VPS27	HSE1	0.587124763	0.655357795	-0.591465932
YNR019W_YOR267C	YNR019W	YOR267C	ARE2	HRK1	0.417290805	0.907225267	NA
YNR031C_YLR006C	YNR031C	YLR006C	SSK2	SSK1	0.424293221	0.356609964	-0.795520512
YNR034W_YMR120C	YNR034W	YMR120C	SOL1	ADE17	1.007591541	0.249105517	0.158938739
YNR034W_YNR051C	YNR034W	YNR051C	SOL1	BRE5	1.007591541	0.223219414	NA
YNR035C_YBR234C	YNR035C	YBR234C	ARC35	ARC40	0.377195569	0.615961767	-0.044146898
YNR035C_YKL013C	YNR035C	YKL013C	ARC35	ARC19	0.377195569	0.648221252	0.163811851
YNR035C_YLR370C	YNR035C	YLR370C	ARC35	ARC18	0.377195569	0.756479562	0.386148247
YNR035C_YOR181W	YNR035C	YOR181W	ARC35	LAS17	0.377195569	0.135178981	-0.703783164
YNR038W_YJR041C	YNR038W	YJR041C	DBP6	URB2	0.372325865	0.201898038	NA
YNR051C_YCL037C	YNR051C	YCL037C	BRE5	SRO9	0.223219414	0.72255521	0.267861905
YNR051C_YNL255C	YNR051C	YNL255C	BRE5	GIS2	0.223219414	0.743426143	0.648361664
YNR051C_YNR051C	YNR051C	YNR051C	BRE5	BRE5	0.223219414	0.223219414	0.550558418
YNR051C_YOL077C	YNR051C	YOL077C	BRE5	BRX1	0.223219414	0.641755909	NA
YNR051C_YOR204W	YNR051C	YOR204W	BRE5	DED1	0.223219414	NA	1.711508218
YNR051C_YOR267C	YNR051C	YOR267C	BRE5	HRK1	0.223219414	0.907225267	NA
YNR052C_YOL149W	YNR052C	YOL149W	POP2	DCP1	0.230618553	0.331709163	NA
YNR053C_YPR016C	YNR053C	YPR016C	NOG2	TIF6	0.424005323	0.290010849	NA
YOL012C_YKR048C	YOL012C	YKR048C	HTZ1	NAP1	0.299720694	0.92354636	-1.037285879
YOL012C_YPL127C	YOL012C	YPL127C	HTZ1	HHO1	0.299720694	-0.026416425	0.900076975
YOL061W_YKL181W	YOL061W	YKL181W	PRS5	PRS1	0.724726166	0.177263749	-1.446602216
YOL061W_YOL061W	YOL061W	YOL061W	PRS5	PRS5	0.724726166	0.724726166	-0.111885949
YOL077C_YOL100W	YOL077C	YOL100W	BRX1	PKH2	0.641755909	0.242298341	NA
YOL147C_YDL065C	YOL147C	YDL065C	PEX11	PEX19	0.340416759	0.700993514	0.119602716
YOL147C_YDR329C	YOL147C	YDR329C	PEX11	PEX3	0.340416759	0.173295454	-0.711408926
YOL147C_YGL153W	YOL147C	YGL153W	PEX11	PEX14	0.340416759	0.417955596	0.415650601
YOL147C_YLR191W	YOL147C	YLR191W	PEX11	PEX13	0.340416759	0.625853733	0.468458492
YOL147C_YOL147C	YOL147C	YOL147C	PEX11	PEX11	0.340416759	0.340416759	0.295284903
YOR027W_YOR027W	YOR027W	YOR027W	STI1	STI1	0.655563897	0.655563897	0.465556262
YOR039W_YGL019W	YOR039W	YGL019W	CKB2	CKB1	0.402596088	0.34890737	0.396326827
YOR039W_YIL035C	YOR039W	YIL035C	CKB2	CKA1	0.402596088	0.452856662	-0.263618998
YOR039W_YOR061W	YOR039W	YOR061W	CKB2	CKA2	0.402596088	0.961068283	-1.096357011
YOR042W_YFR024C-A	YOR042W	YFR024C-A	CUE5	LSB3	0.769021764	0.745341492	0.472507159
YOR042W_YHR016C	YOR042W	YHR016C	CUE5	YSC84	0.769021764	NA	-0.089269278
YOR054C_YML016C	YOR054C	YML016C	VHS3	PPZ1	NA	0.802798042	0.165476461
YOR061W_YOR039W	YOR061W	YOR039W	CKA2	CKB2	0.961068283	0.402596088	-1.612458575
YOR069W_YJL053W	YOR069W	YJL053W	VPS5	PEP8	0.556890436	0.845984331	0.035211501
YOR069W_YJL154C	YOR069W	YJL154C	VPS5	VPS35	0.556890436	0.63943227	-0.357311307
YOR069W_YOR069W	YOR069W	YOR069W	VPS5	VPS5	0.556890436	0.556890436	-0.870512768
YOR069W_YOR132W	YOR069W	YOR132W	VPS5	VPS17	0.556890436	0.369156711	NA
YOR076C_YCR035C	YOR076C	YCR035C	SKI7	RRP43	0.330470387	0.942941292	0.096679578
YOR076C_YNL232W	YOR076C	YNL232W	SKI7	CSL4	0.330470387	0.727695891	-0.969454505
YOR076C_YPR189W	YOR076C	YPR189W	SKI7	SKI3	0.330470387	0.348807433	-0.750247186
YOR087W_YOR087W	YOR087W	YOR087W	YVC1	YVC1	0.121124734	0.121124734	-0.701756083
YOR089C_YOR370C	YOR089C	YOR370C	VPS21	MRS6	1.219076564	0.519928511	-0.781646779
YOR094W_YOR094W	YOR094W	YOR094W	ARF3	ARF3	0.550828917	0.550828917	NA
YOR095C_YOR095C	YOR095C	YOR095C	RKI1	RKI1	0.182451636	0.182451636	0.198776974
YOR104W_YFL047W	YOR104W	YFL047W	PIN2	RGD2	0.251058796	0.505071379	-0.69478981
YOR109W_YGL206C	YOR109W	YGL206C	INP53	CHC1	0.521579772	0.376158685	-0.094809018
YOR117W_YDR394W	YOR117W	YDR394W	RPT5	RPT3	NA	0.490235857	0.455348371
YOR117W_YHR027C	YOR117W	YHR027C	RPT5	RPN1	NA	0.960583188	0.692605951
YOR117W_YKL145W	YOR117W	YKL145W	RPT5	RPT1	NA	0.774758569	1.029100851
YOR117W_YOR259C	YOR117W	YOR259C	RPT5	RPT4	NA	0.419294619	0.316947774
YOR117W_YOR261C	YOR117W	YOR261C	RPT5	RPN8	NA	0.786388877	NA
YOR132W_YJL053W	YOR132W	YJL053W	VPS17	PEP8	0.369156711	0.845984331	-0.224053934
YOR132W_YJL154C	YOR132W	YJL154C	VPS17	VPS35	0.369156711	0.63943227	0.052661809
YOR132W_YOR069W	YOR132W	YOR069W	VPS17	VPS5	0.369156711	0.556890436	-0.793761255
YOR145C_YPL263C	YOR145C	YPL263C	PNO1	KEL3	NA	0.563936754	1.773016909
YOR165W_YOR165W	YOR165W	YOR165W	SEY1	SEY1	0.789453701	0.789453701	-0.09479118
YOR181W_YBR234C	YOR181W	YBR234C	LAS17	ARC40	0.135178981	0.615961767	-0.192465828
YOR181W_YFR024C-A	YOR181W	YFR024C-A	LAS17	LSB3	0.135178981	0.745341492	0.107538234
YOR181W_YHR016C	YOR181W	YHR016C	LAS17	YSC84	0.135178981	NA	NA
YOR181W_YIL062C	YOR181W	YIL062C	LAS17	ARC15	0.135178981	0.470923256	0.161619044
YOR181W_YKL013C	YOR181W	YKL013C	LAS17	ARC19	0.135178981	0.648221252	0.945734242
YOR181W_YLR337C	YOR181W	YLR337C	LAS17	VRP1	0.135178981	0.505580967	NA
YOR181W_YLR370C	YOR181W	YLR370C	LAS17	ARC18	0.135178981	0.756479562	0.875510067
YOR181W_YMR109W	YOR181W	YMR109W	LAS17	MYO5	0.135178981	0.456482294	0.177376218
YOR181W_YNL084C	YOR181W	YNL084C	LAS17	END3	0.135178981	0.603991295	0.108722426
YOR181W_YOR181W	YOR181W	YOR181W	LAS17	LAS17	0.135178981	0.135178981	-0.086227559
YOR181W_YPR154W	YOR181W	YPR154W	LAS17	PIN3	0.135178981	0.719831118	NA
YOR206W_YFR001W	YOR206W	YFR001W	NOC2	LOC1	0.782673369	0.289715438	NA
YOR206W_YLR196W	YOR206W	YLR196W	NOC2	PWP1	0.782673369	0.765763874	1.821462693
YOR206W_YLR449W	YOR206W	YLR449W	NOC2	FPR4	0.782673369	1.067185505	0.583019868
YOR206W_YOL077C	YOR206W	YOL077C	NOC2	BRX1	0.782673369	0.641755909	0.58045251
YOR206W_YOR206W	YOR206W	YOR206W	NOC2	NOC2	0.782673369	0.782673369	-0.274640582
YOR206W_YPL043W	YOR206W	YPL043W	NOC2	NOP4	0.782673369	0.417997029	NA
YOR206W_YPL127C	YOR206W	YPL127C	NOC2	HHO1	0.782673369	-0.026416425	1.202529974
YOR206W_YPR016C	YOR206W	YPR016C	NOC2	TIF6	0.782673369	0.290010849	NA
YOR226C_YPL088W	YOR226C	YPL088W	ISU2	YPL088W	1.256257678	NA	NA
YOR261C_YDL097C	YOR261C	YDL097C	RPN8	RPN6	0.786388877	0.990487771	0.209322485
YOR261C_YDL147W	YOR261C	YDL147W	RPN8	RPN5	0.786388877	0.82556801	0.423028725
YOR261C_YDR427W	YOR261C	YDR427W	RPN8	RPN9	0.786388877	1.343182053	0.33289359
YOR267C_YPR032W	YOR267C	YPR032W	HRK1	SRO7	0.907225267	0.596332213	NA
YOR270C_YEL051W	YOR270C	YEL051W	VPH1	VMA8	0.587883105	0.527254845	-0.24127797
YOR270C_YGR020C	YOR270C	YGR020C	VPH1	VMA7	0.587883105	0.334854352	-0.094849622
YOR270C_YLR447C	YOR270C	YLR447C	VPH1	VMA6	0.587883105	-0.151090462	0.392700345
YOR270C_YPR036W	YOR270C	YPR036W	VPH1	VMA13	0.587883105	0.353816108	0.863115602
YOR273C_YGR130C	YOR273C	YGR130C	TPO4	YGR130C	0.160732349	0.770378342	-2.537396547
YOR362C_YGR135W	YOR362C	YGR135W	PRE10	PRE9	1.228401095	0.708508161	0.092351731
YOR362C_YML092C	YOR362C	YML092C	PRE10	PRE8	1.228401095	0.937335472	1.236966017
YOR370C_YKR014C	YOR370C	YKR014C	MRS6	YPT52	0.519928511	1.339863119	-0.144164034
YOR370C_YLR403W	YOR370C	YLR403W	MRS6	SFP1	0.519928511	0.377523022	-0.183210644
YOR370C_YOR089C	YOR370C	YOR089C	MRS6	VPS21	0.519928511	1.219076564	-0.990879403
YPL004C_YGL137W	YPL004C	YGL137W	LSP1	SEC27	0.485547778	0.467786153	0.178301286
YPL004C_YGR130C	YPL004C	YGR130C	LSP1	YGR130C	0.485547778	0.770378342	-0.1645792
YPL004C_YOL100W	YPL004C	YOL100W	LSP1	PKH2	0.485547778	0.242298341	0.012986183
YPL004C_YPL221W	YPL004C	YPL221W	LSP1	FLC1	0.485547778	0.074414597	-0.568269854
YPL010W_YDR238C	YPL010W	YDR238C	RET3	SEC26	0.602111222	0.548325306	NA
YPL010W_YFR051C	YPL010W	YFR051C	RET3	RET2	0.602111222	0.203833944	-0.092446691
YPL010W_YGL137W	YPL010W	YGL137W	RET3	SEC27	0.602111222	0.467786153	-0.438289511
YPL010W_YNL287W	YPL010W	YNL287W	RET3	SEC21	0.602111222	0.086281943	0.6136416
YPL043W_YPL211W	YPL043W	YPL211W	NOP4	NIP7	0.417997029	0.610519937	NA
YPL049C_YPL256C	YPL049C	YPL256C	DIG1	CLN2	0.281347193	0.199538575	NA
YPL091W_YPL091W	YPL091W	YPL091W	GLR1	GLR1	1.324364053	1.324364053	0.752433368
YPL112C_YDL065C	YPL112C	YDL065C	PEX25	PEX19	0.417559619	0.700993514	-1.056075238
YPL112C_YPL112C	YPL112C	YPL112C	PEX25	PEX25	0.417559619	0.417559619	0.247990168
YPL116W_YPL116W	YPL116W	YPL116W	HOS3	HOS3	0.434029941	0.434029941	-0.353804339
YPL119C_YNL255C	YPL119C	YNL255C	DBP1	GIS2	0.853494616	0.743426143	-0.119323037
YPL129W_YML098W	YPL129W	YML098W	TAF14	TAF13	0.386090115	0.188256655	NA
YPL265W_YPL265W	YPL265W	YPL265W	DIP5	DIP5	0.03452203	0.03452203	-0.793747801
YPR010C_YOR341W	YPR010C	YOR341W	RPA135	RPA190	0.111052273	0.042092391	0.408885131
YPR010C_YPR016C	YPR010C	YPR016C	RPA135	TIF6	0.111052273	0.290010849	NA
YPR010C_YPR187W	YPR010C	YPR187W	RPA135	RPO26	0.111052273	0.636544373	NA
YPR016C_YGL099W	YPR016C	YGL099W	TIF6	LSG1	0.290010849	0.542148834	0.167490682
YPR016C_YHR170W	YPR016C	YHR170W	TIF6	NMD3	0.290010849	0.481668662	1.565732016
YPR016C_YLR074C	YPR016C	YLR074C	TIF6	BUD20	0.290010849	0.650064413	NA
YPR016C_YNR053C	YPR016C	YNR053C	TIF6	NOG2	0.290010849	0.424005323	2.309120965
YPR016C_YOL077C	YPR016C	YOL077C	TIF6	BRX1	0.290010849	0.641755909	0.079944815
YPR029C_YGL206C	YPR029C	YGL206C	APL4	CHC1	0.134033911	0.376158685	0.443959062
YPR029C_YJL207C	YPR029C	YJL207C	APL4	LAA1	0.134033911	0.533332728	0.229375612
YPR029C_YJR125C	YPR029C	YJR125C	APL4	ENT3	0.134033911	NA	0.395801867
YPR029C_YKL135C	YPR029C	YKL135C	APL4	APL2	0.134033911	1.003519926	-0.480368302
YPR029C_YLR170C	YPR029C	YLR170C	APL4	APS1	0.134033911	NA	0.43988425
YPR029C_YPR029C	YPR029C	YPR029C	APL4	APL4	0.134033911	0.134033911	0.075020866
YPR036W_YEL051W	YPR036W	YEL051W	VMA13	VMA8	0.353816108	0.527254845	0.787252621
YPR036W_YGR020C	YPR036W	YGR020C	VMA13	VMA7	0.353816108	0.334854352	0.703710433
YPR036W_YGR106C	YPR036W	YGR106C	VMA13	VOA1	0.353816108	0.55685021	-0.067453639
YPR036W_YOR270C	YPR036W	YOR270C	VMA13	VPH1	0.353816108	0.587883105	0.688343965
YPR048W_YKR071C	YPR048W	YKR071C	TAH18	DRE2	NA	0.98951436	-0.635566875
YPR052C_YPL127C	YPR052C	YPL127C	NHP6A	HHO1	0.999789456	-0.026416425	0.529372546
YPR062W_YPR062W	YPR062W	YPR062W	FCY1	FCY1	0.567631175	0.567631175	0.010226242
YPR110C_YNL113W	YPR110C	YNL113W	RPC40	RPC19	0.393351293	0.819375252	-0.601454636
YPR110C_YOR341W	YPR110C	YOR341W	RPC40	RPA190	0.393351293	0.042092391	0.59406877
YPR113W_YPR113W	YPR113W	YPR113W	PIS1	PIS1	0.552719731	0.552719731	-0.018222767
YPR124W_YPR124W	YPR124W	YPR124W	CTR1	CTR1	0.872758933	0.872758933	0.11965464
YPR137W_YJL109C	YPR137W	YJL109C	RRP9	UTP10	0.548766134	0.473443234	NA
YPR137W_YNL255C	YPR137W	YNL255C	RRP9	GIS2	0.548766134	0.743426143	NA
YPR138C_YER020W	YPR138C	YER020W	MEP3	GPA2	-0.057733896	0.46110311	-0.211354905
YPR138C_YPR138C	YPR138C	YPR138C	MEP3	MEP3	-0.057733896	-0.057733896	0.931451404
YPR173C_YLR025W	YPR173C	YLR025W	VPS4	SNF7	0.29787876	NA	-0.766881636
YPR173C_YLR181C	YPR173C	YLR181C	VPS4	VTA1	0.29787876	0.342294361	-0.398263486
YPR187W_YOR341W	YPR187W	YOR341W	RPO26	RPA190	0.636544373	0.042092391	0.364921341
