TAG	1181-0519.x	AA-mixture.x	atorvastatin.x	CuSO4.x	doxorubicin.x	ethanol.x	FK506.x	H2O2.x	heat-shock.x	menadione.x	methionine.x	N-starvation.x	NaCl.x	sorbitol.x	1181-0519.y	AA-mixture.y	atorvastatin.y	CuSO4.y	doxorubicin.y	ethanol.y	FK506.y	H2O2.y	heat-shock.y	menadione.y	methionine.y	N-starvation.y	NaCl.y	sorbitol.y
TM_0004	-0.111451742070977	0.19144862456015	0.203526138965251	0.15034009616146	0.195512310544443	-0.456452489981505	0.0708235255266973	-0.0905712113891244	-0.2723371189776	0.185954034174848	0.21209793381819	-0.0228325055138896	-0.191051667134157	-0.0415520738726283	-0.0389901550461751	0.186236999194642	0.100054342340692	-0.0703035859476673	0.284729623792496	-0.427330521323321	-0.0288497521267965	-0.106923642266822	-0.0046707278909794	0.165810341733193	0.170047995942364	0.0745412198496573	0.00840642570632525	0.0901519491007541
TM_0005	0.00985168322503145	-0.0822364677687473	0.0464300327328218	0.003706714569919	-0.0834005933827731	0.651187214159793	-0.360488127895899	-0.0991934482634091	0.375707788057896	-0.172007930298232	-0.0025283809266181	0.267281916250334	0.52512557558788	0.128457845542525	-0.0936741346414581	-0.252210981749728	-0.0974624091929295	-0.0817512343173661	-0.13539879110815	0.615847758315437	-0.241598099009197	-0.0467658724681206	0.200438238797296	-0.049467579192898	-0.170692326893676	0.0672228785653043	0.556881851552877	-0.0029660387101015
TM_0006	-0.0350061998152952	0.228209378591839	-0.0709322631215424	-0.0865930896241184	-0.0712569502709623	0.0808403676258055	-0.417785591652493	-0.971742182829006	-0.0104760718149235	-0.130764059022349	0.174392847444776	-0.0923602231351593	-0.0563734626125196	-0.353449265232782	-0.0660347777278316	0.381016627910499	-0.104448564010823	-0.0977057549528044	-0.114718988580957	0.024090605328543	-0.346984978596153	-0.667771681993111	-0.168646152538318	0.109548236663268	0.165008237539997	-0.0363886060124434	-0.193339964515688	-0.156806017139103
TM_0008	0.137737347122478	-0.0186706453995455	0.0437443884000465	-0.0465056801312444	-0.0932212157536432	-0.570238287032925	-0.36604551752879	-0.111548628252551	-0.271262956423933	-0.0897196108721509	0.150046256623791	-0.0839729526358583	-0.275918259374248	-0.234992279742564	0.0469907771564362	0.10575612589831	0.0623325433367539	-0.133276845616756	-0.261685585795448	-0.552808833539353	-0.101801164566057	0.108018166802112	-0.0574321382285555	-0.0155102385504825	0.240921793999503	-0.0586325875641991	-0.317992863447118	-0.225428329118944
TM_0009	-0.271733644754571	-0.123146942410282	-0.354495256451587	0.0677248817095555	0.0511734963259176	-0.204943434338756	-0.0920994657999809	-0.0839249700344932	-0.098657521120444	-0.0044807148402466	-0.0475475490064374	-0.0874058842914929	-0.00629903236599375	0.0721586416701924	-0.264097141559792	-0.11238596897874	-0.389280111850779	0.0853264213757976	0.0437607899141305	-0.288772901140818	-0.109135880022833	-0.115663102237428	0.0140601419223856	-0.049730716854512	-0.0614481237452655	0.0141173456870458	-0.001461937400764	0.0392644106368103
TM_0010	-0.153644642944075	-0.120788824496919	-0.0191315910582137	-0.0349085311916948	-0.194033354185322	-0.288599686601217	-0.033747514735625	-0.344059581634135	-0.316009860076388	-0.23551658749263	0.00466700842676975	-0.112654347938233	-0.247132235268192	-0.221872696836965	-0.239430794757411	-0.0635582799727726	-0.0700476020175823	-0.190691736122711	-0.174660252351008	-0.388056901678666	-0.174430273325288	-0.387404611048749	-0.409139951082089	-0.0707204848899483	0.0446779013741382	-0.0869914711385133	-0.132887967255805	-0.219983676049925
TM_0028	-0.264290472965204	-0.50958915231995	-0.228653848055266	0.113721928485045	-0.275235162461597	-0.817628807655413	0.028430179402874	-0.161288888886284	0.015799187274322	0.0848817831053665	0.132914910846372	-0.210384200056364	-0.301938438234155	-0.358769018337058	-0.236252299364544	-0.245939154521014	-0.320827493401317	-0.0598822925990151	0.0137579257445984	-0.801181923506191	-0.00508714004910435	-0.505261843319767	-0.700241415521476	0.249078847059058	0.294584610236916	-0.224682092437826	-0.4258807847931	-0.654035504192692
TM_0029	0.0187185442424055	0.271228799242975	0.103609322157481	-0.004031944226659	0.345867912463375	0.207986851809962	-0.121119881312629	-0.157850975133826	-0.032334125084682	-0.0957161350285061	0.259338998576504	-0.0369039807077929	0.252829688224583	0.0173890846793681	0.143797685528037	0.427424219219734	0.113199867146437	0.0816872671312599	0.277615730725296	0.224347116043801	-0.0954172728507831	0.018655153507394	-0.659081378679569	0.0295232140222001	0.181989764504332	0.0526311600070928	0.074562009453097	-0.298182639613674
TM_0034	-0.318268806897435	0.62806029230446	-0.0314393951096203	0.0285006106890586	0.135060025235111	-0.7853299924483	-0.0966687685360563	-0.0575926296405129	-0.214525748371805	0.0016321615226435	0.483180936265829	0.158003140988125	-0.152237122671794	0.0978586831949048	-0.149237525024477	0.499675369226745	0.105931437154254	-0.0395097696578448	-0.0400107586671554	-0.836132541040649	0.0041424856746939	0.186755944290668	-0.0470729172594906	0.165457827957098	0.362456453108519	0.0939364866130825	0.117660727320755	0.190877361742921
TM_0035	-0.227523426242247	0.050993573239371	-0.416807936098592	0.238769010105231	0.0934394989152754	0.0391745947915298	-0.209125216035139	-0.276849377008231	-0.20484163671232	-0.0284446340816781	-0.00211926144456065	-0.0436352249909486	0.176977932470175	0.107652763651217	-0.395859663298013	0.125662517997682	-0.396542229351628	-0.0122669833325669	0.100094746950191	0.022761628298043	-0.149689768752747	-0.237488865157673	-0.180644599290708	-0.0397855285607722	0.128542235507482	-0.0515358210497343	0.29183390887518	0.00405224926729985
TM_0037	-0.143481624384015	0.0215449169332845	0.0747039867027606	-0.0668768868625886	-0.412807674132205	-0.199847043507627	-0.342632411524492	-0.305532031016451	-0.38754178348207	-0.189606895741436	-0.181787129854693	-0.0623553364882286	-0.0436950556843253	-0.0510526686572951	-0.2032652005368	0.127087411677309	-0.0385787609544713	-0.155105414330151	-0.41064376962433	-0.158939223882499	-0.557790250922217	-0.274046614465058	0.140023685946502	0.028230350651695	-0.0192528820257515	0.230987970892182	-0.159353261162907	-0.00167784777175675
