TAG	NAME	GWEIGHT	1181-0519.x	1181-0519.y	FK506.x	FK506.y	CuSO4.x	CuSO4.y	doxorubicin.x	doxorubicin.y	atorvastatin.x	atorvastatin.y	AA-mixture.x	AA-mixture.y	methionine.x	methionine.y	menadione.x	menadione.y	H2O2.x	H2O2.y	ethanol.x	ethanol.y	heat-shock.x	heat-shock.y	N-starvation.x	sorbitol.x	NaCl.x	NaCl.y	sorbitol.y	N-starvation.y
TM_3218	TM_3218	1.000000	0.064429	0.081193	0.199785	0.027425	-0.152075	0.012881	-0.160636	0.052047	-0.201714	-0.137213	-0.184142	-0.228768	-0.444697	-0.393686	-0.125560	-0.220340	-0.060646	-0.030567	0.601796	0.556929	0.333023	0.113210	0.012672	0.076039	0.052772	-0.009931	0.004630	-0.085486
TM_3107	TM_3107	1.000000	0.013147	-0.031392	-0.090086	-0.072004	-0.020991	0.002996	0.144210	0.127240	0.000637	0.068664	-0.156997	-0.228584	-0.202335	-0.134036	0.004013	-0.097855	0.212831	0.193850	0.288704	0.281146	-0.026798	0.091827	0.034365	-0.026175	0.057660	0.098389	0.018282	-0.073811
TM_3181	TM_3181	1.000000	0.044575	0.212795	-0.140887	-0.018781	-0.041506	0.090658	0.202977	0.152088	0.072242	-0.020578	-0.383138	-0.275341	-0.388628	-0.423507	-0.180360	0.007105	0.244343	0.327224	0.411072	0.446352	0.124991	-0.064538	0.034000	-0.065839	-0.033367	-0.024314	0.043075	-0.009718
TM_3388	TM_3388	1.000000	-0.019399	-0.093247	0.033556	-0.146057	-0.365191	-0.277092	0.176289	0.351368	-0.118247	0.043098	-0.268053	-0.314558	-0.323930	-0.375121	-0.200444	-0.080494	0.231664	0.241908	0.523308	0.474268	0.121729	0.012845	0.064708	0.055017	-0.016698	0.054375	-0.000428	-0.060383
TM_3287	TM_3287	1.000000	0.056118	0.126647	0.094707	0.092406	-0.206018	0.014483	0.072239	0.098407	0.031879	0.010583	-0.170147	-0.274475	-0.245455	-0.329185	-0.075570	-0.166544	0.020203	-0.036558	0.152218	0.203085	0.010656	-0.023506	-0.082991	-0.063596	0.052404	-0.074012	-0.033157	-0.029543
TM_2051	TM_2051	1.000000	0.079815	0.132039	0.246657	0.194993	-0.111683	-0.126967	0.382818	0.327549	-0.039615	0.113775	-0.041844	-0.064161	-0.193074	-0.403429	0.143212	-0.154563	-0.023069	0.258006	0.509164	0.544369	-0.263146	-0.394835	-0.064229	0.064839	-0.164130	0.332814	0.006313	-0.167349
TM_0842	TM_0842	1.000000	-0.027410	0.105001	0.241780	0.147902	0.067592	-0.044579	0.182294	0.237333	-0.014482	-0.071363	0.172911	0.012696	-0.143132	-0.292801	-0.154267	-0.179494	0.065413	0.087941	0.283134	0.332086	-0.265541	0.012565	-0.085476	-0.040703	-0.204966	-0.032631	0.006759	-0.374396
TM_2423	TM_2423	1.000000	-0.108891	-0.203281	0.158730	0.019393	0.082575	-0.208533	0.279789	0.403648	-0.001196	-0.050073	0.150645	-0.047134	-0.300388	-0.287057	-0.289821	-0.168794	0.113832	0.001496	0.689451	0.734735	-0.052741	-0.009613	-0.157877	0.159093	-0.003686	0.135278	-0.125734	-0.066586
TM_3919	TM_3919	1.000000	0.007307	0.038743	-0.023633	-0.042389	-0.178457	-0.176467	0.351616	0.387573	0.142274	0.072239	0.075961	-0.095295	-0.149550	-0.410745	-0.243217	-0.176270	0.161744	-0.012135	0.549515	0.588910	-0.172657	-0.019899	0.000299	-0.018037	0.196594	0.127621	-0.027953	-0.230629
TM_3733	TM_3733	1.000000	-0.019718	0.070569	0.184117	0.019367	-0.235946	-0.119256	0.262153	0.208101	-0.090179	-0.165971	0.327996	0.146378	-0.412473	-0.306717	-0.103252	-0.332459	0.214188	0.086321	0.475735	0.491556	-0.042240	0.143952	-0.141689	0.049267	-0.040716	0.115231	-0.048406	-0.271293
TM_1806	TM_1806	1.000000	0.232588	0.220673	0.308743	0.199856	0.109334	0.097154	0.190263	0.328869	0.056084	-0.030813	-0.081172	-0.223043	-0.200418	-0.088657	-0.068074	-0.059703	0.014845	-0.047181	0.531469	0.525891	-0.028333	-0.120353	-0.038024	-0.028715	0.029971	0.057941	-0.115875	-0.271199
