YORF	NAME	GWEIGHT	0 hr	9.5 hr	11.5 hr	13.5 hr	15.5 hr	18.5 hr	20.5 hr
YLR443W		1	-0.03	0.24	0.43	-0.45	-0.36	-0.2	0.07
YBR294W		1	0.03	0.11	0.34	-0.3	-0.4	-0.03	0.2
YDR481C		1	0.14	0.3	0.11	-0.64	-0.58	0.21	0.52
YOR147W		1	0.32	0.2	0.14	-0.56	-0.36	0.12	0.38
YOR221C		1	0.26	0.3	0.14	-0.36	-0.34	0.2	0.21
YGL233W		1	0.21	0.34	0.26	-0.09	-0.36	0.24	0.25
YPR057W		1	0.07	0.25	0.25	-0.2	-0.2	0.16	0.12
YFR021W		1	0.2	0.4	0.4	-0.43	-0.51	0.25	0.14
YOL105C		1	0.15	0.2	0.45	-0.43	-0.54	0.32	0.15
YPL089C		1	0.14	0.21	0.3	-0.36	-0.49	0.4	0.21
YNL094W		1	0.15	0.21	0.32	-0.27	-0.54	0.12	0.19
YBR095C		1	0.15	0.04	0.19	-0.27	-0.34	-0.01	0.08
YCR107W		1	0.11	0.03	0.26	-0.43	-0.62	0.16	0.16
YPL162C		1	0.07	-0.06	0.11	-0.23	-0.29	0.15	0.07
YDR145W		1	0.2	-0.18	0.56	-0.34	-0.47	0.15	0.03
YPL213W		1	0.08	-0.22	0.2	-0.1	-0.27	-0.07	0.14
YGL049C		1	-0.03	-0.23	0.21	0.11	-0.09	-0.04	0.32
YGR139W		1	-0.09	-0.27	0.92	0.67	0.11	0.14	0.64
YLR159W		1	-0.1	-0.09	0.2	0.04	0	0.03	0.2
YLR161W		1	-0.22	-0.1	0.56	0.07	0.19	0.2	0.43
YDR124W		1	-0.3	0.11	0	-0.1	0.36	0.21	0.6
YMR134W		1	-0.18	0.08	0.03	-0.06	0.24	0.21	0.25
YJL172W		1	-0.27	-0.51	0.3	0.2	0.48	0.58	0.5
YGL188C		1	-0.47	-0.58	0.08	0.26	0.29	0.36	0.81
YNL208W		1	-0.15	-0.54	0.12	0.2	-0.01	0.38	0.52
YGR086C		1	0.25	-0.03	-0.4	-0.07	0	0.58	1.03
YML091C		1	-0.1	-0.36	-0.64	-0.12	0.43	0.97	1.4
YDR376W		1	-0.09	-0.17	-0.27	-0.1	0	0.21	0.25
YIL161W		1	-0.29	-0.4	0.07	-0.42	0.24	0.71	0.54
YCR096C		1	-0.23	-0.23	0	-0.27	0.4	0.64	0.78
YPR192W		1	-0.32	-0.12	0	-0.3	0.04	0.62	0.74
YGL193C		1	-0.23	-0.1	0.03	-0.27	-0.01	0.29	0.62
YDL049C		1	-0.23	-0.18	-0.06	-0.18	0.06	0.2	0.41
YLR247C		1	-0.18	-0.09	-0.09	-0.14	0.07	0.16	0.34
YHR125W		1	-0.17	-0.3	-0.25	-0.01	-0.1	0.34	0.45
YLR326W		1	-0.14	-0.27	-0.12	0.03	-0.03	0.29	0.43
YFR017C		1	-0.69	-0.69	-0.29	-0.22	-0.12	1	1.43
YMR040W		1	-0.47	-0.42	-0.18	0.25	-0.01	0.92	1.03
YOR227W		1	-0.22	0.04	-0.15	-0.18	0.25	0.24	0.89
YKR086W		1	-0.04	-0.1	-0.15	-0.06	0.15	0.15	0.64
YML090W		1	-0.06	-0.1	-0.34	-0.18	0.29	0.67	1.65
YDR495C		1	-0.07	-0.03	0.01	-0.17	0.15	0.29	0.58
YMR186W		1	0.11	0.04	-0.25	-0.12	0.19	0.62	1.09
YLR259C		1	0.29	0.19	-0.34	0.16	0.24	1.12	1.65
YPR191W		1	0.04	0.16	-0.06	0.04	0.14	0.6	0.84
YPR184W		1	-0.23	-0.09	-0.27	0.2	0.56	1.52	2.64
YAL017W		1	-0.1	-0.04	-0.15	0.32	0.43	0.71	1.48
YPR026W		1	-0.06	-0.04	0.11	0.2	0.2	0.6	1.56
YNL142W		1	-0.2	-0.1	0.07	-0.04	0.25	0.36	0.67
YOR275C		1	-0.23	-0.1	0.15	0.03	0.14	0.34	0.71
YJL102W		1	-0.4	-0.38	-0.04	0.14	0.24	0.76	1.32
YLR312C		1	-0.62	-0.67	0	0.19	-0.27	1.25	2.32
YOR100C		1	-0.81	-0.45	0.2	-0.04	-0.18	1.09	2.12
YFL030W		1	-0.81	-0.47	0.19	-0.27	0.03	1.06	2.25
YOL118C		1	-0.18	-0.38	0.14	0.08	-0.23	0.5	0.81
YIL101C		1	-0.42	-0.51	0.08	0.26	-0.38	1.56	1.84
YJL031C		1	-0.25	-0.09	0.32	-0.06	-0.06	1.22	
YML054C		1	-0.58	-0.1	0.43	-0.1	-0.04	2.32	2.94
YBR298C		1	-0.34	-0.03	0.25	-0.3	-0.01	1.48	2.12
YHL032C		1	-0.15	-0.1	0.24	-0.2	-0.15	1.03	1.56
YDR125C		1	-0.27	0.01	0.01	-0.14	-0.12	1.03	1.43
YBR116C		1	-0.17	0.19	0.04	-0.23	-0.42	1.79	2.4
YKL187C		1	0.04	0.07	0.2	-0.17	-0.4	2.12	3.32
YLR267W		1	-0.12	0.12	0.26	-0.1	-0.49	1.65	2.74
YGL153W		1	-0.14	-0.07	0.21	-0.03	-0.34	1.09	1.56
YJL137C		1	-0.04	0.08	0.26	0.06	-0.49	1.06	1.84
YGR022C		1	-0.17	-0.06	0.14	0.04	-0.15	0.54	0.86
YJL185C		1	-0.17	-0.07	0.16	0.15	-0.18	0.71	1.43
YDR096W		1	-0.25	-0.07	-0.04	0.14	-0.18	0.94	1.56
YLR311C		1	-0.3	-0.27	-0.09	0.06	-0.17	1.03	1.94
YEL012W		1	-0.09	-0.3	0.07	0.07	-0.36	1.32	2.32
YPL262W		1	0.01	-0.06	-0.04	-0.17	-0.1	1.03	1.89
YOL084W		1	-0.3	0.12		0	-0.07	1.32	2.64
YNL006W		1	-0.03	-0.01	-0.09	0.12	-0.04	0.52	0.97
YNL009W		1	-0.06	-0.58	0.01	-0.14	-0.17	1.32	2.19
YNR002C		1	-0.17	-0.27	0.06	-0.07	-0.23	0.78	1.18
YJL045W		1	-0.34	-0.18	0.41	-0.09	-0.49	1	2.32
YJR095W		1	-0.62	-0.47	1.09	-0.12	-0.18	1.36	3.64
YLR174W		1	-0.1	-0.29	0.71	0.12	-0.14	1.29	3.32
YHR096C		1	-0.12	-0.04	0.67	0.32	-0.32	1.43	3.06
YGR110W		1	0.16	0.07	0.5	-0.06	-0.38	1.09	2.12
YLR173W		1	0.08	0.07	0.5	-0.03	-0.23	0.78	1.43
YPL134C		1	0.01	-0.03	0.32	0.08	-0.18	0.86	1.18
YOL117W		1	-0.23	-0.07	0.38	0.29	-0.03	1.15	1.29
YHL024W		1	-0.23	-0.03	0.41	0.12	0.11	1.06	1.43
YGL259W		1	-0.14	-0.07	0.48	0.64	0.38	1.69	2.84
YBL045C		1	0.07	0	0.69	0.52	0.15	1.69	2.48
YKR076W		1	-0.04	0.04	0.38	0.24	0.01	1.65	2.25
YJL163C		1	0.06	0.01	0.12	0.24	0.07	1.06	1.74
YNL125C		1	0.06	-0.1	0.19	0	0.12	0.6	0.92
YBR039W		1	0.12	-0.14	0.45	0.03	0.26	1.12	1.74
YOR245C		1	0.11	0.16	0.26	-0.17	-0.2	0.97	1.12
YBR117C		1	0.36	0.64	0.69	0.04	-0.27	1.65	2.48
YDL199C		1	-0.04	0.5	0.41	0.19	-0.34	1.74	2.32
YDL085W		1	-0.1	1	0.06	-0.12	-0.27	2.06	2.84
YDL223C		1	-0.1	0.58	0.2	-0.14	-0.74	1.32	2.19
YBR051W		1	-0.15	0.2	0	-0.4	-0.94	0.32	2.64
YDL174C		1	0.01	0.2	0.03	-0.07	-0.15	0.15	0.76
YLL020C		1	-0.04	0.11	-0.1	-0.3	-0.1	0.43	1.06
YDR505C		1	0.2	-0.01	0	-0.27	-0.22	0.32	1.32
YCR061W		1	-0.17		0.41	-0.04	-0.23	0.26	1.48
YNL117W		1	-0.3	-0.04	0.71	-0.3	-0.27	0.76	3.18
YLR377C		1	-0.23	-0.03	0.25	-0.17	-0.12	0.48	3.84
YKR097W		1	-0.12	-0.18	0.43	-0.09	-0.25	0.41	3.84
YER065C		1	0.12	0.16	0.54	0.08	-0.15	0.54	3.64
YDL215C		1	-0.12	-0.03	-0.14	-0.35	-0.14	0.19	2.26
YNL195C		1	-0.32	-0.23	-0.1	-0.15	0.03	0.76	2.32
YJL089W		1	-0.62	-0.34	-0.23	-0.18	-0.25	1.12	3.06
YAL054C		1	-0.67	-0.18	0	-0.18	-0.3	1.48	3.64
YER024W		1	-0.27	-0.15	0.16	-0.36	-0.49	1.12	3.18
YGR067C		1	0.04	-0.1	0.16	-0.34	-0.38	0.6	2.4
YCR010C		1	-0.49	-0.36	0.24	-0.36	-0.42	0.54	2.64
YPL054W		1	-0.47	-0.47	0	-0.32	-0.34	0.6	1.84
YLR142W		1	-0.18	-0.47	-0.51	-0.27	-0.2	0.52	2.4
YJL016W		1	0.11	-0.03	0.32	0.04	-0.27	0.41	0.84
YER096W		1	-0.09	0.15	0.54	0.16	-0.58	0.52	1.79
YDR149C		1	-0.17	0.21	0.25	-0.01	-0.47	0.3	1.03
YLL017W		1	-0.06	-0.1	0.19	-0.04	-0.34	0.14	0.74
YDL247W		1	-0.14	-0.01	0.38	-0.07	-0.58	0.19	0.92
YOR191W		1	-0.12	-0.04	0.12	-0.12	-0.29	0.07	0.41
YIL057C		1	-0.45	-0.34	0.34	-0.29	-0.67	0.4	1.48
YBR085W		1	-0.36	-0.18	0.6	0.04	-0.54	0.38	0.89
YGL251C		1	-0.17	-0.1	0.29	0.01	-0.23	0.32	0.71
YPL109C		1	-0.23	0	0.43	-0.07	-0.76	0.81	1.4
YHR171W		1	-0.4	-0.06	0.48	0.11	-0.69	0.84	1.06
YDL194W		1	-0.23	0.24	0.19	-0.23	-0.47	0.43	0.92
YNL331C		1	-0.1	0.21	0.19	-0.32	-0.45	0.64	1.09
YER116C		1	-0.01	0.12	0.25	-0.18	-0.27	0.45	0.67
YGR224W		1	-0.14	0.12	0.4	-0.3	-0.15	0.5	0.94
YDR169C		1	-0.07	0.07	0.24	-0.27	-0.18	0.43	0.78
YKL107W		1	-0.36	-0.07	0.38	-0.42	-0.23	0.69	1.32
YOR081C		1	-0.03	0.07	0.34	-0.27	-0.25	0.2	0.81
YLR431C		1	0	-0.07	0.29	-0.38	-0.22	0.34	0.62
YJL015C		1	-0.32	-0.51	0.25	0.2	-0.36	0.5	0.64
YMR104C		1	-0.64	-0.56	0.29	0.16	-0.36	0.81	0.76
YGL250W		1	-0.34	-0.6	0.12	0.11	-0.38	0.78	0.67
YHR004C		1	-0.14	-0.38	0.29	0.03	-0.27	0.64	0.58
YDR369C		1	-0.09	-0.18	0.06	0.04	-0.27	0.4	0.45
YOR177C		1	-0.38	-0.4	0.26	0.16	-0.6	0.84	1.03
YGL158W		1	-0.51	-0.51	0.32	-0.12	-0.84	0.94	1.06
YJR008W		1	-0.74	-0.4	0.32	-0.1	-0.92	1.56	1.32
YDR254W		1	-0.69	-0.3	0.24	0.03	-0.25	0.76	0.5
YOR032C		1	-0.69	-0.69	0.67	-0.03	-0.36	1.06	0.84
YIR030C		1	-0.36	-0.25	0.32	-0.12	-0.27	0.62	0.45
YOL116W		1	-0.34	-0.4	0.43	-0.1	-0.43	0.84	0.71
YJL048C		1	-0.51	-0.47		0.03	-0.49	1.18	0.94
YOL096C		1	-0.32	-0.4	0.4	0.03	-0.3	0.81	0.48
YDL234C		1	-0.67	-0.51	0.48	0.08	-0.23	1.22	0.84
YDL238C		1		-0.36	0.34	-0.06	-0.3	0.97	0.67
YOL047C		1	-0.54	-0.3	0.24	-0.09	-0.23	0.92	0.6
YDR030C		1	-0.6	-0.58	0.26	-0.14	-0.32	1.25	0.76
YPL114W		1	-0.38	-0.34	0.14	-0.1	-0.1	0.69	0.4
YDR014W		1	-0.42	-0.18	0.3	-0.25	-0.1	0.81	0.43
YIR024C		1	-0.51	-0.25	0.32	-0.17	0.01	0.67	0.38
YER059W		1	-0.42	-0.29	0.34	-0.09	-0.01	0.69	0.34
YHL022C		1	-0.45	-0.18	0.19	-0.04	-0.06	0.78	0.36
YML118W		1	-0.58	-0.18	0.24	-0.01	-0.09	0.78	0.56
YEL069C		1	-0.54	-0.2	0.38	-0.18	-0.06	0.84	0.86
YEL041W		1	-0.56	-0.1	0.36	-0.12	-0.17	0.78	0.74
YDR179C		1	-0.43	-0.17	0.29	-0.12	-0.12	0.58	0.52
YHR159W		1	-0.51	-0.09	0.4	-0.04	-0.18	0.86	0.64
YGR052W		1	-0.62	-0.2	0.69	0.01	-0.17	1.48	1.29
YBR006W		1	-1.09	-0.27	0.38	0.26	0.08	1.29	1.29
YDR323C		1	-0.56	-0.18	0.25	0.08	0.03	0.64	0.64
YNL019C		1	-0.3	-0.27	0.2	0.04	0.01	0.43	0.43
YBR132C		1	-1.09	-0.58	0.45	-0.06	-0.32	1.25	1.65
YPL097W		1	-0.36	-0.12	0.41	0.04	0.08	0.81	0.58
YGR237C		1	-0.45	-0.3	0.38	0.12	0.03	0.89	0.6
YOR044W		1	-0.32	-0.25	0.29	0.07	0.14	0.67	0.45
YFR016C		1	-0.4	-0.2	0.25	0.08	0.21	0.89	0.48
YIR016W		1	-0.49	-0.18	0.38	-0.03	0.14	1.12	0.54
YJR130C		1	-0.56	-0.45	0.3	0.15	0.24	1.06	0.54
YFR014C		1	-0.64	-0.43	0.19		0.15	1.15	0.6
YCR030C		1	-0.25	-0.27	0.14	0.19	0.08	0.62	0.38
YER098W		1	-0.15	-0.2	0.4	0.14	-0.23	1.12	1.15
YGR201C		1	-0.15	-0.34	0.84	0.16	-0.1	1.89	1.65
YGR258C		1	-0.01	-0.07	0.26	0.08	-0.14	0.92	0.69
YJR062C		1	-0.1	0	0.08	0.14	-0.07	0.52	0.4
YDR219C		1	-0.22	0.04	0.3	0.21	-0.47	1.18	0.92
YJR080C		1	-0.15	0.01	0.36	0.19	-0.45	1.32	1.09
YDR255C		1	-0.17	-0.12	0.2	0.24	-0.38	1.06	1.12
YGL059W		1	-0.51	-0.36	0.56	0.21	-0.42	1.29	1.06
YOR386W		1	-0.58	-0.27	0.41	0.14	-0.54	1.65	1.15
YFR007W		1	-0.22	-0.03	0.16	0	-0.2	0.48	0.3
YDR275W		1	-0.51	-0.07	0.29	-0.18	-0.36	1.23	0.83
YJL153C		1	-0.58	-0.12	0.32	-0.18	-0.47	1.12	1.03
YOR389W		1	-0.18	0.06	0.26	-0.15	-0.45	1	0.89
YER142C		1	-0.34	-0.09	0.32	-0.01	-0.54	1.15	1
YHL020C		1	-0.23	0.01	0.26	-0.06	-0.27	0.64	0.5
YJR019C		1	-0.42	-0.07	0.38	-0.09		1.18	0.89
YJL112W		1	-0.3	-0.04	0.45	-0.01	-0.27	1.06	0.89
YPR027C		1	-0.09	0	0.26	-0.01	-0.15	0.54	0.52
YKL133C		1	-0.18	0.07	0.52	-0.1	-0.45	1.32	0.97
YBR285W		1	-0.4	0.38	0.16	-0.2	-0.51	1.52	0.92
YOR097C		1	-0.23	0.19	0.19	0.03	-0.29	1.52	0.94
YKR098C		1	-0.1	0.19	0.14	-0.04	-0.27	1.29	0.56
YOR042W		1	-0.34	0.14	0.29	-0.1	0.01	1.06	0.6
YBR241C		1	-0.97	0.06	0.41	0.19	-0.18	2.48	1.56
YJL141C		1	-0.4	0.11	0.07	-0.2	-0.09	1.65	1.03
YDR148C		1	-0.62	-0.01	0.36	-0.18	-0.2	1.84	1.4
YKL146W		1	-0.4	-0.1	0.21	-0.22	-0.07	1.12	0.76
YEL005C		1	-0.29	0.07	0.36	-0.09	-0.3	0.81	0.36
YML050W		1	-0.17	-0.03	0.38	-0.1	-0.34	0.78	0.34
YJR158W		1	-0.18	-0.07	0.3	-0.12	-0.36	0.97	0.5
YDR530C		1	-0.1	0.04	0.19	-0.04	-0.34	0.74	0.38
YIL093C		1	-0.27	-0.17	0.24	0.08	-0.3	0.71	0.25
YKL134C		1	-0.27	-0.29		0.14	-0.43	1	0.43
YMR023C		1	-0.18	-0.27	0.26	0.08	-0.4	0.81	0.41
YKR101W		1	-0.27	-0.42	0.16	0.08	-0.34	1.03	0.4
YLR151C		1	-0.12	-0.18	0.14	0	-0.27	0.97	0.45
YOR005C		1	-0.17	-0.3	0.14	-0.07	-0.42	1.06	0.56
YDR532C		1	-0.07	-0.1	0.15	-0.04	-0.15	0.4	0.25
YMR156C		1	-0.12	-0.1	0.08	-0.09	-0.27	0.5	0.32
YDR458C		1	-0.07	-0.06	0.21	-0.2	-0.2	1.25	0.6
YKL023W		1	-0.12	-0.07	0.29	-0.09	-0.22	1.18	0.41
YBR290W		1	-0.03	-0.1	0.29	0.11	-0.18	1.29	0.5
YGL108C		1	-0.1		0.19	0.06	-0.12	0.84	0.36
YML131W		1	-0.25	-0.18	0.38	0	-0.23	1.74	0.92
YDR494W		1	-0.18	-0.23	0.34	0	-0.1	1.12	0.54
YBR262C		1	-0.07	-0.27	0.14	0.06	-0.17	1.15	0.6
YJL144W		1	-0.4	-0.43	0.24	0.15	-0.1	2.12	1.12
YLR171W		1	-0.1	-0.17	0.06	0.01	0.01	0.94	0.5
YDR203W		1	-0.25	-0.25	0.21	-0.09	-0.15	0.97	0.54
YER014W		1	-0.23	-0.27	0.32	-0.01	-0.14	0.86	0.54
YOR054C		1	-0.06	-0.23	0.16	-0.07	-0.1	0.69	0.21
YMR210W		1	0.07	-0.32	0.48	0.21	-0.06	1.43	0.71
YKL155C		1	0.08	0.04	0.48	0.06	-0.17	0.86	0.45
YMR097C		1	-0.01	0.12	0.58	0.15	-0.17	0.92	0.6
YDR287W		1	0	0.14	0.52	0.19	-0.42	1.29	0.81
YBR122C		1	-0.03	0.19	0.45	0.14	-0.18	1.22	0.71
YGR231C		1	-0.01	0.03	0.58	0.03	-0.23	1.36	0.69
YLR298C		1	-0.1	0	0.41	0.07	-0.15	1.09	0.48
YDR168W		1	-0.09	0.04	0.36	0.16	-0.1	0.81	0.3
YFR047C		1	-0.14	-0.1	0.78	0.15	0.01	1.25	0.52
YDR175C		1	-0.1	-0.03	0.43	0.06	0.06	0.97	0.52
YGL119W		1	-0.12	0.03	0.4	-0.03	0.07	0.74	0.38
YLR035C		1	-0.09	0.16	0.4	0.06	0.04	0.81	0.43
YHR194W		1	-0.32	-0.12	0.43	-0.03	-0.1	0.76	0.38
YLR417W		1	-0.34	0	0.41	-0.03	-0.12	0.78	0.3
YER020W		1	-0.67	-0.01	0.62	0.03	-0.36	1.36	0.64
YJR110W		1	-0.43		0.36	0.11	-0.22	0.94	0.45
YKL168C		1	-0.34	0.04	0.25	0.14		0.69	0.34
YMR098C		1	-0.62		0.54	0.24	-0.3	0.94	0.74
YIR014W		1	-0.25	-0.1	0.26	0.04	-0.15	0.38	0.24
YCR036W		1	-0.38	-0.01	0.6	0.16	-0.43	0.86	0.43
YNL334C		1	-0.04	0.04	0.21	-0.25	-0.04	0.54	0.43
YPL173W		1	-0.15	0.07	0.41	-0.36	0.07	0.92	0.71
YBR272C		1	-0.1	-0.01	0.41	-0.2	0	0.69	0.56
YFR049W		1	-0.18	0.01	0.38	-0.18	-0.04	0.67	0.74
YJL036W		1	-0.27	0.04	0.38	-0.2	-0.15	1.03	0.86
YBL058W		1	-0.25	0.11	0.38	-0.22	-0.07	0.97	0.76
YDR423C		1	-0.12	0.07	0.3	-0.07	0.01	0.94	0.74
YHR202W		1	-0.15	0.03	0.26	0	0.16	0.64	0.5
YMR136W		1	-0.36	0.15	0.64	0.16	0.2	1.22	1.22
