Condition	Tag	PPI.long	PPI.short	Gene.1	Gene.2	ORF.1	ORF.2	FC (UP-tag)	q-val (UP-tag)	FC (DN-tag)	q-val (DN-tag)
FK506	TM_1603	RPT5_F1::RPT4_F3	RPT5:RPT4	RPT5	RPT4	YOR117W	YOR259C	0.428489307201149	0.00281632520807385	0.333251209796941	0.00576782323534619
FK506	TM_0055	TPO1_F1::PDR12_F3	TPO1:PDR12	TPO1	PDR12	YLL028W	YPL058C	0.250739339120461	0.0154378773292325	0.302218734158604	0.00316183039335287
FK506	TM_3733	REI1_F1::LSG1_F3	REI1:LSG1	REI1	LSG1	YBR267W	YGL099W	0.398911483587051	0.00327190299204113	0.399217842141383	0.00951827328460076
FK506	TM_4150	TPO1_F1::PDR5_F3	TPO1:PDR5	TPO1	PDR5	YLL028W	YOR153W	0.857824000771069	0.000131535882266674	0.914563006682176	8.27660690317977e-05
FK506	TM_0710	INA1_F1::TCB3_F3	INA1:TCB3	INA1	TCB3	YLR413W	YML072C	0.371175591596012	0.00186786079007665	0.30618322036811	0.0118948792889583
FK506	TM_2423	PEP1_F1::CHC1_F3	PEP1:CHC1	PEP1	CHC1	YBL017C	YGL206C	0.376689384814012	0.0100565717963821	0.254711446995515	0.0205030214036992
FK506	TM_2232	HSE1_F1::VPS27_F3	HSE1:VPS27	HSE1	VPS27	YHL002W	YNR006W	0.326886592426549	0.0043760366827183	0.344637397393075	0.00329964882374394
FK506	TM_4049	SNQ2_F1::SNQ2_F3	SNQ2:SNQ2	SNQ2	SNQ2	YDR011W	YDR011W	0.536100066011526	0.00379161984675726	0.766634191781382	0.00120266830965749
FK506	TM_3896	GIS2_F1::ADE17_F3	GIS2:ADE17	GIS2	ADE17	YNL255C	YMR120C	0.295262873407649	0.00638709101622265	0.405333957224016	0.0114701297437015
FK506	TM_0842	SPC2_F1::SEC62_F3	SPC2:SEC62	SPC2	SEC62	YML055W	YPL094C	0.26103163022297	0.00707705231106529	0.48692912288594	0.00312721415530169
FK506	TM_3611	NUP100_F1::NUP82_F3	NUP100:NUP82	NUP100	NUP82	YKL068W	YJL061W	0.519478071470477	0.00186786079007665	0.311587753924844	0.0218154002137974
FK506	TM_0579	PEX14_F1::PEX14_F3	PEX14:PEX14	PEX14	PEX14	YGL153W	YGL153W	0.278411152547452	0.0199762919372965	0.315620800427755	0.0151826037992186
FK506	TM_2264	LPP1_F1::RBD2_F3	LPP1:RBD2	LPP1	RBD2	YDR503C	YPL246C	0.34021057295122	0.00510493908000111	0.278656600496225	0.00572787471038746
FK506	TM_0602	ARP2_F1::LAS17_F3	ARP2:LAS17	ARP2	LAS17	YDL029W	YOR181W	0.331050301992942	0.00281632520807385	0.337841403471572	0.00332189173541857
FK506	TM_2317	HNM1_F1::PDR5_F3	HNM1:PDR5	HNM1	PDR5	YGL077C	YOR153W	0.403656287181477	0.000835373974299666	0.53488733516161	0.00316183039335287
FK506	TM_2051	ARP2_F1::VRP1_F3	ARP2:VRP1	ARP2	VRP1	YDL029W	YLR337C	0.585711837445542	0.00421364814094538	0.330710741435869	0.0325277119766978
FK506	TM_2060	TPO1_F1::TCB3_F3	TPO1:TCB3	TPO1	TCB3	YLL028W	YML072C	0.283210506780614	0.0143330621471836	0.309518698127091	0.0161962127828091
