Condition	Tag	PPI.long	PPI.short	Gene.1	Gene.2	ORF.1	ORF.2	FC (UP-tag)	q-val (UP-tag)	FC (DN-tag)	q-val (DN-tag)
FK506	TM_1091	PST2_F1::YOR1_F3	PST2:YOR1	PST2	YOR1	YDR032C	YGR281W	0.625180895972798	0.00112540507644897	0.503991683470526	0.0184620787696867
FK506	TM_3200	TPO1_F1::INA1_F3	TPO1:INA1	TPO1	INA1	YLL028W	YLR413W	0.618233314928375	0.000350396234562728	0.704970624513201	0.000312361800711412
FK506	TM_0481	PDR5_F1::PDR5_F3	PDR5:PDR5	PDR5	PDR5	YOR153W	YOR153W	0.585073869736664	0.000866742040801705	0.626798069881504	0.00116778139941772
FK506	TM_4267	HNM1_F1::TPO1_F3	HNM1:TPO1	HNM1	TPO1	YGL077C	YLL028W	0.491154878146226	0.00112540507644897	0.747003883288423	0.000771771577684004
FK506	TM_3100	YOR1_F1::SFK1_F3	YOR1:SFK1	YOR1	SFK1	YGR281W	YKL051W	0.532165184338456	0.0111786221881158	0.433185807796107	0.00660091223514013
FK506	TM_1251	LAC1_F1::LAC1_F3	LAC1:LAC1	LAC1	LAC1	YKL008C	YKL008C	0.333161635895301	0.00298104255390258	0.389090569899393	0.00312721415530169
FK506	TM_2177	HNM1_F1::INA1_F3	HNM1:INA1	HNM1	INA1	YGL077C	YLR413W	0.336448187899391	0.00272979684293173	0.286311753100321	0.0183671040625662
FK506	TM_1779	CAP2_F1::SRV2_F3	CAP2:SRV2	CAP2	SRV2	YIL034C	YNL138W	0.436292760384241	0.00146092937238552	0.397432007323427	0.00660091223514013
FK506	TM_2830	KEL1_F1::KEL1_F3	KEL1:KEL1	KEL1	KEL1	YHR158C	YHR158C	0.277756662120865	0.0115595831503252	0.318159830924484	0.00869494727519823
FK506	TM_1847	PST2_F1::ADE17_F3	PST2:ADE17	PST2	ADE17	YDR032C	YMR120C	0.405849304931548	0.00215775213159849	0.316566924693086	0.00316183039335287
FK506	TM_1670	YOR1_F1::MID2_F3	YOR1:MID2	YOR1	MID2	YGR281W	YLR332W	0.534032992113435	0.000866742040801705	0.473850727490982	0.000312361800711412
FK506	TM_2709	PEX30_F1::PEX30_F3	PEX30:PEX30	PEX30	PEX30	YLR324W	YLR324W	0.394707132413656	0.00421364814094538	0.450587956395498	0.0154225738062979
FK506	TM_2481	HNM1_F1::YOR1_F3	HNM1:YOR1	HNM1	YOR1	YGL077C	YGR281W	0.403947370985096	0.00186786079007665	0.574214653435797	0.00116778139941772
CuSO4	TM_2484	ITR1_F1::FTR1_F3	ITR1:FTR1	ITR1	FTR1	YDR497C	YER145C	0.781739594880289	0.00865064852103617	0.670495460784721	0.0392219554818518
doxorubicin	TM_4012	TPS3_F1::TPS3_F3	TPS3:TPS3	TPS3	TPS3	YMR261C	YMR261C	0.28259249482681	0.00456211761083721	0.586841953189829	0.000538357170058703
doxorubicin	TM_0061	FTR1_F1::PDR12_F3	FTR1:PDR12	FTR1	PDR12	YER145C	YPL058C	0.424019191115628	0.0411299887401606	0.575036591481403	0.0135829715104368
doxorubicin	TM_2604	MYO2_F1::MYO2_F3	MYO2:MYO2	MYO2	MYO2	YOR326W	YOR326W	0.314748394619047	0.0119623970627794	0.30554281217128	0.00262136118321315
doxorubicin	TM_3733	REI1_F1::LSG1_F3	REI1:LSG1	REI1	LSG1	YBR267W	YGL099W	0.515434384392332	0.00164913582751269	0.531445266546802	0.000538357170058703
doxorubicin	TM_0724	NUP159_F1::NUP116_F3	NUP159:NUP116	NUP159	NUP116	YIL115C	YMR047C	0.252052693430331	0.00956811633291908	0.293226815405969	0.00247123284360554
doxorubicin	TM_3518	IKI3_F1::ELP4_F3	IKI3:ELP4	IKI3	ELP4	YLR384C	YPL101W	0.264676021412836	0.0182529078830291	0.31248762965803	0.00179991145740946
doxorubicin	TM_1948	APS1_F1::APL4_F3	APS1:APL4	APS1	APL4	YLR170C	YPR029C	0.398635151472867	0.00935302013051023	0.273295327968812	0.00656627014269796
doxorubicin	TM_2154	ERV29_F1::PPZ1_F3	ERV29:PPZ1	ERV29	PPZ1	YGR284C	YML016C	0.542194619881407	0.00208934971832455	0.292624369031813	0.0324517102262016
doxorubicin	TM_3510	ERV25_F1::PPZ1_F3	ERV25:PPZ1	ERV25	PPZ1	YML012W	YML016C	0.800591963473252	0.00122807760438685	0.408057583178961	0.00524983772817065
doxorubicin	TM_0434	UTP8_F1::UTP15_F3	UTP8:UTP15	UTP8	UTP15	YGR128C	YMR093W	0.465092654266899	0.00153963040802441	0.468734471927682	0.00670321335520876
doxorubicin	TM_1450	STE24_F1::PPZ1_F3	STE24:PPZ1	STE24	PPZ1	YJR117W	YML016C	0.482389399259613	0.00269891996782186	0.366093909829539	0.0141101956735722
doxorubicin	TM_1695	CTR2_F1::RBD2_F3	CTR2:RBD2	CTR2	RBD2	YHR175W	YPL246C	0.457705208212484	0.00967328957041508	0.253008022864567	0.0187093495219365
doxorubicin	TM_3013	SWA2_F1::CHC1_F3	SWA2:CHC1	SWA2	CHC1	YDR320C	YGL206C	0.301454570719567	0.00363977559805517	0.607106194534612	0.0044905502635039
doxorubicin	TM_2148	SEC18_F1::SEC27_F3	SEC18:SEC27	SEC18	SEC27	YBR080C	YGL137W	0.409522985382642	0.033145557012588	0.422244088947281	0.0132054311999087
doxorubicin	TM_2423	PEP1_F1::CHC1_F3	PEP1:CHC1	PEP1	CHC1	YBL017C	YGL206C	0.457965306657833	0.00222948767697164	0.660730174364708	0.000663246863794648
doxorubicin	TM_0192	SYP1_F1::PDR12_F3	SYP1:PDR12	SYP1	PDR12	YCR030C	YPL058C	0.292883365518568	0.0217223870803194	0.389513948732557	0.0034626198531889
doxorubicin	TM_3396	FPS1_F1::PPZ1_F3	FPS1:PPZ1	FPS1	PPZ1	YLL043W	YML016C	0.925852017813162	0.0331760699457641	0.424507551447538	0.00262136118321315
doxorubicin	TM_3478	RPT1_F1::RPN1_F3	RPT1:RPN1	RPT1	RPN1	YKL145W	YHR027C	0.288267520417389	0.00382618201046398	0.250362148609577	0.0132315949156257
doxorubicin	TM_3845	APL4_F1::CHC1_F3	APL4:CHC1	APL4	CHC1	YPR029C	YGL206C	0.344303366107763	0.00358520525165282	0.356946041272014	0.00286008889562235
doxorubicin	TM_3671	AUR1_F1::RET2_F3	AUR1:RET2	AUR1	RET2	YKL004W	YFR051C	0.372080551553012	0.00763944379735001	0.282435885670212	0.00931776011298837
doxorubicin	TM_1041	LSM3_F1::NOT5_F3	LSM3:NOT5	LSM3	NOT5	YLR438C-A	YPR072W	0.320025011530568	0.00236210575216101	0.304242531311491	0.00192961644156276
doxorubicin	TM_3842	ERV29_F1::RET2_F3	ERV29:RET2	ERV29	RET2	YGR284C	YFR051C	0.499587401529839	0.00169342690813337	0.263610925017746	0.00915915051440267
doxorubicin	TM_1054	SMI1_F1::SEC7_F3	SMI1:SEC7	SMI1	SEC7	YGR229C	YDR170C	0.336140091525012	0.00767218465508765	0.281153987913639	0.0038384545980307
doxorubicin	TM_4264	KEX1_F1::SEC26_F3	KEX1:SEC26	KEX1	SEC26	YGL203C	YDR238C	0.353430361075402	0.00456802729438377	0.272415547485222	0.0260789495805181
doxorubicin	TM_0576	UTP5_F1::UTP10_F3	UTP5:UTP10	UTP5	UTP10	YDR398W	YJL109C	0.361001339903995	0.00185870285964832	0.371788683288941	0.00179991145740946
doxorubicin	TM_3388	VRP1_F1::ARC15_F3	VRP1:ARC15	VRP1	ARC15	YLR337C	YIL062C	0.304741915078985	0.022630074269655	0.702591264626989	0.00138593491434357
doxorubicin	TM_3864	SLA2_F1::ARC19_F3	SLA2:ARC19	SLA2	ARC19	YNL243W	YKL013C	0.254232668965649	0.019548983443191	0.364462569613746	0.00254574053239053
doxorubicin	TM_0842	SPC2_F1::SEC62_F3	SPC2:SEC62	SPC2	SEC62	YML055W	YPL094C	0.343870867486194	0.0027800035180707	0.416015204551618	0.00232408363812342
doxorubicin	TM_3919	SLA2_F1::ARC15_F3	SLA2:ARC15	SLA2	ARC15	YNL243W	YIL062C	0.852010207611215	0.00122807760438685	0.270137597319001	0.00757017388627649
doxorubicin	TM_1192	SLC1_F1::FAT1_F3	SLC1:FAT1	SLC1	FAT1	YDL052C	YBR041W	0.302233124333855	0.00363977559805517	0.306251066067285	0.0153452262370995
doxorubicin	TM_3761	YMR010W_F1::RET2_F3	YMR010W:RET2	YMR010W	RET2	YMR010W	YFR051C	0.454386053955387	0.00396225137007322	0.368907999741257	0.0212594870515955
doxorubicin	TM_3611	NUP100_F1::NUP82_F3	NUP100:NUP82	NUP100	NUP82	YKL068W	YJL061W	0.422170716240748	0.00683163912972778	0.551929961551615	0.001477465117771
doxorubicin	TM_0424	GPA2_F1::PDR12_F3	GPA2:PDR12	GPA2	PDR12	YER020W	YPL058C	0.30504240338335	0.0136953754059221	0.397335710451731	0.0154530033428509
doxorubicin	TM_3312	RBD2_F1::SEC21_F3	RBD2:SEC21	RBD2	SEC21	YPL246C	YNL287W	0.382261084826602	0.0306253215887577	0.269057695750826	0.0474910890069496
doxorubicin	TM_0293	PAC10_F1::GIM3_F3	PAC10:GIM3	PAC10	GIM3	YGR078C	YNL153C	0.275852307055459	0.0210927235192821	0.260901071700571	0.0245006999231175
doxorubicin	TM_3876	INP53_F1::CHC1_F3	INP53:CHC1	INP53	CHC1	YOR109W	YGL206C	0.329835972220122	0.0117940409222058	0.511009480016025	0.0076702677672581
doxorubicin	TM_0862	PEP1_F1::PEP8_F3	PEP1:PEP8	PEP1	PEP8	YBL017C	YJL053W	0.821996844370954	0.00164913582751269	0.294719327822213	0.00931747311077115
doxorubicin	TM_1150	YMR010W_F1::YMR010W_F3	YMR010W:YMR010W	YMR010W	YMR010W	YMR010W	YMR010W	0.268087316195443	0.00294524516959813	0.278103747850382	0.00656627014269796
doxorubicin	TM_1750	DNM1_F1::DNM1_F3	DNM1:DNM1	DNM1	DNM1	YLL001W	YLL001W	0.431800414306249	0.00295012441993945	0.257558953458046	0.0120452285878214
doxorubicin	TM_0662	MID2_F1::MID2_F3	MID2:MID2	MID2	MID2	YLR332W	YLR332W	0.2703286061236	0.0148051352278883	0.406669987168669	0.0044905502635039
doxorubicin	TM_3167	FTR1_F1::MUP1_F3	FTR1:MUP1	FTR1	MUP1	YER145C	YGR055W	0.628936040090274	0.000432402156962141	0.557332253661365	0.0010458622662057
doxorubicin	TM_2220	ERV25_F1::SEY1_F3	ERV25:SEY1	ERV25	SEY1	YML012W	YOR165W	0.415843929769698	0.0020125838084801	0.365908567197783	0.0023391598320456
doxorubicin	TM_3014	NAP1_F1::NAP1_F3	NAP1:NAP1	NAP1	NAP1	YKR048C	YKR048C	0.398882118207096	0.00208934971832455	0.385718611268995	0.00138593491434357
doxorubicin	TM_3234	PRS2_F1::PRS1_F3	PRS2:PRS1	PRS2	PRS1	YER099C	YKL181W	0.29889469122061	0.00349902897580984	0.765533994325709	0.000589656806550167
doxorubicin	TM_0542	SMI1_F1::SEC26_F3	SMI1:SEC26	SMI1	SEC26	YGR229C	YDR238C	0.40904679278505	0.00359163197444598	0.288102214841663	0.00649214090459478
doxorubicin	TM_2051	ARP2_F1::VRP1_F3	ARP2:VRP1	ARP2	VRP1	YDL029W	YLR337C	0.674482681652412	0.0026483849554574	0.492636929431027	0.00462013986171065
doxorubicin	TM_0808	FTR1_F1::TPO2_F3	FTR1:TPO2	FTR1	TPO2	YER145C	YGR138C	0.402677027218214	0.00427246359287365	0.25468164526667	0.0122447169409449
doxorubicin	TM_4167	FTR1_F1::HNM1_F3	FTR1:HNM1	FTR1	HNM1	YER145C	YGL077C	0.776175761248499	0.00122807760438685	0.476893805260397	0.00138593491434357
doxorubicin	TM_3196	SFT2_F1::YCR043C_F3	SFT2:YCR043C	SFT2	YCR043C	YBL102W	YCR043C	0.314223972733091	0.0126612229097364	0.420402042402696	0.0299478864534543
doxorubicin	TM_4199	MUP1_F1::PPZ1_F3	MUP1:PPZ1	MUP1	PPZ1	YGR055W	YML016C	0.334810822572049	0.00208934971832455	0.267647995883589	0.0287453783099038
doxorubicin	TM_3414	CDC39_F1::CDC39_F3	CDC39:CDC39	CDC39	CDC39	YCR093W	YCR093W	0.563957918592333	0.00236210575216101	0.447308100738745	0.0122447169409449
doxorubicin	TM_0910	BBC1_F1::MID2_F3	BBC1:MID2	BBC1	MID2	YJL020C	YLR332W	0.350258533571743	0.00556747532345735	0.320233634733212	0.0253719062560091
doxorubicin	TM_3077	GCN1_F1::TPM2_F3	GCN1:TPM2	GCN1	TPM2	YGL195W	YIL138C	0.321319512964676	0.0424604393290882	0.262285019366507	0.0309653255398939
doxorubicin	TM_4017	EHT1_F1::PPZ1_F3	EHT1:PPZ1	EHT1	PPZ1	YBR177C	YML016C	0.474834112850457	0.00859444982458472	0.37539889572286	0.00591273990785908
doxorubicin	TM_1947	ERP1_F1::ERP1_F3	ERP1:ERP1	ERP1	ERP1	YAR002C-A	YAR002C-A	0.297237913399728	0.00225828031179512	0.265725113865052	0.00375460952204636
doxorubicin	TM_2073	GPA2_F1::MUP1_F3	GPA2:MUP1	GPA2	MUP1	YER020W	YGR055W	0.292440744481118	0.0193576473371161	0.271091458431579	0.0177581863134419
doxorubicin	TM_1779	CAP2_F1::SRV2_F3	CAP2:SRV2	CAP2	SRV2	YIL034C	YNL138W	0.301639837127363	0.00298828904688193	0.393635619129343	0.00427775005727359
doxorubicin	TM_1350	BBC1_F1::MYO5_F3	BBC1:MYO5	BBC1	MYO5	YJL020C	YMR109W	0.336123756726373	0.00363977559805517	0.493979416916062	0.00232408363812342
doxorubicin	TM_2263	ERV29_F1::ERP4_F3	ERV29:ERP4	ERV29	ERP4	YGR284C	YOR016C	0.423484307926691	0.0311932344092305	0.378599001002938	0.0044905502635039
doxorubicin	TM_1677	ELP4_F1::ELP4_F3	ELP4:ELP4	ELP4	ELP4	YPL101W	YPL101W	0.274664981120621	0.0034112971601644	0.41430512624148	0.00582772100032295
doxorubicin	TM_2830	KEL1_F1::KEL1_F3	KEL1:KEL1	KEL1	KEL1	YHR158C	YHR158C	0.324553259781005	0.00679768334796368	0.393067163622176	0.00300877460689248
doxorubicin	TM_1414	FTR1_F1::FET3_F3	FTR1:FET3	FTR1	FET3	YER145C	YMR058W	0.649056128535586	0.00122807760438685	0.486131021054758	0.0023391598320456
doxorubicin	TM_2101	VHT1_F1::TCB3_F3	VHT1:TCB3	VHT1	TCB3	YGR065C	YML072C	0.33661668899261	0.00156893566316061	0.351364925069987	0.00232408363812342
doxorubicin	TM_2484	ITR1_F1::FTR1_F3	ITR1:FTR1	ITR1	FTR1	YDR497C	YER145C	0.685478269277963	0.00288341613342228	0.694633210808872	0.00106428946014813
doxorubicin	TM_1354	YBL029C-A_F1::FTR1_F3	YBL029C-A:FTR1	YBL029C-A	FTR1	YBL029C-A	YER145C	0.434134259534018	0.0028029665318047	0.498434265002999	0.00603946239560814
doxorubicin	TM_2254	ERV29_F1::ERV29_F3	ERV29:ERV29	ERV29	ERV29	YGR284C	YGR284C	0.54051868880085	0.00222948767697164	0.320307004750065	0.0029781638129078
doxorubicin	TM_2634	PUF4_F1::PUF4_F3	PUF4:PUF4	PUF4	PUF4	YGL014W	YGL014W	0.538209580535909	0.0212305440225726	0.298904325675856	0.00387660879028905
doxorubicin	TM_2770	EBP2_F1::NOC2_F3	EBP2:NOC2	EBP2	NOC2	YKL172W	YOR206W	0.401262821387192	0.0147219454373981	0.312287933291524	0.0023391598320456
doxorubicin	TM_2709	PEX30_F1::PEX30_F3	PEX30:PEX30	PEX30	PEX30	YLR324W	YLR324W	0.362426307554447	0.00626563196937086	0.376948243017559	0.0195028162178719
doxorubicin	TM_2880	NUP57_F1::NUP57_F3	NUP57:NUP57	NUP57	NUP57	YGR119C	YGR119C	0.27443930488359	0.0323500379982574	0.536919620409266	0.0162314568811405
1181-0519	TM_1603	RPT5_F1::RPT4_F3	RPT5:RPT4	RPT5	RPT4	YOR117W	YOR259C	0.331105514906572	0.0115643946354635	0.331383919694705	0.00795165538701771
1181-0519	TM_3733	REI1_F1::LSG1_F3	REI1:LSG1	REI1	LSG1	YBR267W	YGL099W	0.349597984663163	0.00712919707157644	0.302045037217027	0.0156775079556985
1181-0519	TM_0393	ERG25_F1::RBD2_F3	ERG25:RBD2	ERG25	RBD2	YGR060W	YPL246C	0.3061041613638	0.00906883723105273	0.304312573147293	0.00367325928914383
1181-0519	TM_4150	TPO1_F1::PDR5_F3	TPO1:PDR5	TPO1	PDR5	YLL028W	YOR153W	0.587880905308893	0.00107923473416805	0.595459436451376	0.00100960625193588
1181-0519	TM_0710	INA1_F1::TCB3_F3	INA1:TCB3	INA1	TCB3	YLR413W	YML072C	0.334880453359634	0.00385212797861761	0.343496261509662	0.00795165538701771
1181-0519	TM_4049	SNQ2_F1::SNQ2_F3	SNQ2:SNQ2	SNQ2	SNQ2	YDR011W	YDR011W	0.447787807970935	0.00612601875320916	0.702027704640949	0.00390504138750728
1181-0519	TM_3611	NUP100_F1::NUP82_F3	NUP100:NUP82	NUP100	NUP82	YKL068W	YJL061W	0.463073794401984	0.00419387511994253	0.3669446747572	0.0152204653928208
1181-0519	TM_0408	FLC2_F1::DFG5_F3	FLC2:DFG5	FLC2	DFG5	YAL053W	YMR238W	0.402452618876495	0.00444983292648948	0.415270477325224	0.00741459587745451
1181-0519	TM_3464	ARP2_F1::ARC40_F3	ARP2:ARC40	ARP2	ARC40	YDL029W	YBR234C	0.274268009883295	0.00505100755825711	0.654744231446589	0.02002708543087
1181-0519	TM_0662	MID2_F1::MID2_F3	MID2:MID2	MID2	MID2	YLR332W	YLR332W	0.255196985631404	0.0186392686912274	0.643237100082445	0.000804929899318718
1181-0519	TM_2264	LPP1_F1::RBD2_F3	LPP1:RBD2	LPP1	RBD2	YDR503C	YPL246C	0.343142859402807	0.00919564610488024	0.358505953091381	0.00494286090612599
1181-0519	TM_2317	HNM1_F1::PDR5_F3	HNM1:PDR5	HNM1	PDR5	YGL077C	YOR153W	0.359001020375054	0.0017134275387823	0.455595085505887	0.00726005582748837
1181-0519	TM_3376	OLE1_F1::ERV25_F3	OLE1:ERV25	OLE1	ERV25	YGL055W	YML012W	0.415579274260564	0.00840336590224093	0.432422970797994	0.0158849581240632
1181-0519	TM_4199	MUP1_F1::PPZ1_F3	MUP1:PPZ1	MUP1	PPZ1	YGR055W	YML016C	0.33411499884296	0.00109870503337707	0.28382298686847	0.0345194925483596
1181-0519	TM_3200	TPO1_F1::INA1_F3	TPO1:INA1	TPO1	INA1	YLL028W	YLR413W	0.594828105893699	0.00103415607074788	0.703903569938857	0.000382189304934287
1181-0519	TM_0481	PDR5_F1::PDR5_F3	PDR5:PDR5	PDR5	PDR5	YOR153W	YOR153W	0.391949395884923	0.0039033970377906	0.484729258554195	0.00478136506037608
1181-0519	TM_4219	TPO2_F1::MID2_F3	TPO2:MID2	TPO2	MID2	YGR138C	YLR332W	0.561950668266421	0.00213994979764115	0.325255164777204	0.0264342583987068
1181-0519	TM_3578	SLY1_F1::HXT1_F3	SLY1:HXT1	SLY1	HXT1	YDR189W	YHR094C	0.362978615838282	0.0148064963415795	0.365334544699218	0.0214613332901939
1181-0519	TM_4267	HNM1_F1::TPO1_F3	HNM1:TPO1	HNM1	TPO1	YGL077C	YLL028W	0.264512996293908	0.0113987679567613	0.463379613883383	0.00726005582748837
1181-0519	TM_2177	HNM1_F1::INA1_F3	HNM1:INA1	HNM1	INA1	YGL077C	YLR413W	0.47721812401792	0.00109870503337707	0.359606764728751	0.00830585940877552
1181-0519	TM_1779	CAP2_F1::SRV2_F3	CAP2:SRV2	CAP2	SRV2	YIL034C	YNL138W	0.295606629472797	0.00461207409893275	0.298195254412743	0.02360721770048
1181-0519	TM_2228	MUP1_F1::HXT2_F3	MUP1:HXT2	MUP1	HXT2	YGR055W	YMR011W	0.658684035902953	0.0184743076781399	0.264081576704497	0.0214613332901939
1181-0519	TM_0671	TCB3_F1::HXT2_F3	TCB3:HXT2	TCB3	HXT2	YML072C	YMR011W	0.33773995190414	0.00552770972572262	0.479261734005739	0.00773809919760753
1181-0519	TM_2066	OLE1_F1::EMC5_F3	OLE1:EMC5	OLE1	EMC5	YGL055W	YIL027C	0.376966600323781	0.00919564610488024	0.336060660440726	0.00993745639591474
1181-0519	TM_2254	ERV29_F1::ERV29_F3	ERV29:ERV29	ERV29	ERV29	YGR284C	YGR284C	0.533037599623412	0.00385212797861761	0.31861451555433	0.00665503620883015
1181-0519	TM_1670	YOR1_F1::MID2_F3	YOR1:MID2	YOR1	MID2	YGR281W	YLR332W	0.31233329535582	0.00518425626586858	0.259415305426897	0.00665503620883015
1181-0519	TM_2573	HXT5_F1::PDR12_F3	HXT5:PDR12	HXT5	PDR12	YHR096C	YPL058C	0.252737468054013	0.00505100755825711	0.584280944375809	0.00665503620883015
atorvastatin	TM_0762	ALO1_F1::ADE17_F3	ALO1:ADE17	ALO1	ADE17	YML086C	YMR120C	0.378727028798947	0.00953720302109964	0.287957980208786	0.0270044136502511
atorvastatin	TM_4060	ERG25_F1::PHO88_F3	ERG25:PHO88	ERG25	PHO88	YGR060W	YBR106W	0.507572048981842	0.00173335934153375	0.502904743908566	0.00162912345353344
H2O2	TM_3599	VMA21_F1::VOA1_F3	VMA21:VOA1	VMA21	VOA1	YGR105W	YGR106C	0.303451872331854	0.00170174430198822	0.377326959236385	0.000254312276418562
H2O2	TM_1603	RPT5_F1::RPT4_F3	RPT5:RPT4	RPT5	RPT4	YOR117W	YOR259C	0.513328289444967	0.00117882447009611	0.259918952997191	0.0102932614352961
H2O2	TM_2664	RVS161_F1::RVS167_F3	RVS161:RVS167	RVS161	RVS167	YCR009C	YDR388W	0.310448893158595	0.00609669532184668	0.275267157346732	0.0175915554862607
H2O2	TM_3381	CNS1_F1::HGH1_F3	CNS1:HGH1	CNS1	HGH1	YBR155W	YGR187C	0.962310329151098	0.000589006583827369	0.285824437079736	0.00931936863651303
H2O2	TM_3792	FTH1_F1::VMA7_F3	FTH1:VMA7	FTH1	VMA7	YBR207W	YGR020C	0.492954150370471	0.000253935899612468	1.58757067858573	0.00335490340660744
H2O2	TM_3506	VPS24_F1::VPS24_F3	VPS24:VPS24	VPS24	VPS24	YKL041W	YKL041W	0.436707629360612	0.00956451860114826	0.317482614367995	0.00808637885645292
H2O2	TM_3780	PST2_F1::FTR1_F3	PST2:FTR1	PST2	FTR1	YDR032C	YER145C	0.559204878600857	0.000236736837907136	0.41520787966523	0.000339438655795287
H2O2	TM_3733	REI1_F1::LSG1_F3	REI1:LSG1	REI1	LSG1	YBR267W	YGL099W	0.533304554658315	0.000738634545218237	0.383474441230886	0.00261954416491646
H2O2	TM_0038	ORM2_F1::ERP4_F3	ORM2:ERP4	ORM2	ERP4	YLR350W	YOR016C	0.340404602309683	0.011481544133343	0.370078497626499	0.016577813109997
H2O2	TM_4128	VMA21_F1::ERV25_F3	VMA21:ERV25	VMA21	ERV25	YGR105W	YML012W	0.313166766773183	0.00149263439956824	0.250737615219075	0.0234439958421823
H2O2	TM_3730	TVP15_F1::ATG27_F3	TVP15:ATG27	TVP15	ATG27	YDR100W	YJL178C	0.36807573221393	0.011481544133343	0.325739587216974	0.00152904569983838
H2O2	TM_1695	CTR2_F1::RBD2_F3	CTR2:RBD2	CTR2	RBD2	YHR175W	YPL246C	0.536023446101566	0.00478510110404756	0.256388610864487	0.017690888129101
H2O2	TM_0451	FTR1_F1::TPO3_F3	FTR1:TPO3	FTR1	TPO3	YER145C	YPR156C	1.26658974871457	4.91969564816241e-05	0.719770313301545	0.00011261916733872
H2O2	TM_2489	RPN1_F1::RPT5_F3	RPN1:RPT5	RPN1	RPT5	YHR027C	YOR117W	0.312936151784358	0.00386789774602111	0.684815778024348	0.000356679946144456
H2O2	TM_0235	UFD1_F1::UBX2_F3	UFD1:UBX2	UFD1	UBX2	YGR048W	YML013W	0.261465849632309	0.0443097732875643	0.350993803069089	0.022663579643311
H2O2	TM_3723	EMC5_F1::ORM2_F3	EMC5:ORM2	EMC5	ORM2	YIL027C	YLR350W	0.456596663083017	0.00145040951187004	0.808947444404085	0.014839264785761
H2O2	TM_2232	HSE1_F1::VPS27_F3	HSE1:VPS27	HSE1	VPS27	YHL002W	YNR006W	0.342218836109263	0.000874585451726823	0.349418597832051	0.00157068065895509
