UP-DN	Condition	Tag	PPI.long	PPI.short	Gene.1	Gene.2	ORF.1	ORF.2	AUC	guide.RBD2.1	guide.RBD2.2	guide.RBD2.3	guide.RBD2.ATC.1	guide.RBD2.ATC.2	guide.RBD2.ATC.3	FC.avg	FC.rep1	FC.rep2	p.val	q.val
uptag	CRISPRi [RBD2]	TM_1345	MET3_F1::MET3_F3	MET3:MET3	MET3	MET3	YJR010W	YJR010W	51.972	12.53159265	12.55093112	12.52286756	12.4837654	12.46493709	12.59255047	-0.021379454	-0.051365039	-0.070193355	0.810953114	0.955803501
uptag	CRISPRi [RBD2]	TM_3728	IMD3_F1::IMD4_F3	IMD3:IMD4	IMD3	IMD4	YLR432W	YML056C	110.864	11.7165194	11.59267504	11.54805124	11.48073972	11.67904019	11.02546259	-0.224001064	-0.138342175	0.059958291	0.294228993	0.869175301
uptag	CRISPRi [RBD2]	TM_3802	OLE1_F1::OLE1_F3	OLE1:OLE1	OLE1	OLE1	YGL055W	YGL055W	112.204	12.57169735	12.60441423	12.53159265	12.59255047	12.61450281	12.58011721	0.026488754	0.023315729	0.045268065	0.752779868	0.938748845
uptag	CRISPRi [RBD2]	TM_3747	MUP1_F1::MUP1_F3	MUP1:MUP1	MUP1	MUP1	YGR055W	YGR055W	107.518	12.66810937	12.70160248	12.60441423	12.69549656	12.77221834	12.7157261	0.069771636	0.037454532	0.114176307	0.440289508	0.895323474
uptag	CRISPRi [RBD2]	TM_4013	PIS1_F1::PIS1_F3	PIS1:PIS1	PIS1	PIS1	YPR113W	YPR113W	97.507	12.18928921	12.10399805	12.1431387	12.03168972	12.13918893	12.00399803	-0.087183099	-0.113785606	-0.006286395	0.365244812	0.895323474
uptag	CRISPRi [RBD2]	TM_1337	HOM3_F1::FPR1_F3	HOM3:FPR1	HOM3	FPR1	YER052C	YNL135C	NA	12.79481521	12.75818157	12.73180692	12.8320329	12.84731187	12.79481521	0.063118761	0.070431666	0.085710641	0.464173791	0.895323474
uptag	CRISPRi [RBD2]	TM_1133	RBD2_F1::RBD2_F3	RBD2:RBD2	RBD2	RBD2	YPL246C	YPL246C	95.643	12.70160248	12.71140887	12.7232343	11.02158151	9.444393753	10.06842002	-2.533950119	-1.690500367	-3.267688129	0.001441506	0.160238898
uptag	CRISPRi [RBD2]	TM_3886	YNK1_F1::YNK1_F3	YNK1:YNK1	YNK1	YNK1	YKL067W	YKL067W	102.553	12.46493709	12.50633238	12.62815691	12.47510009	12.47510009	12.43939805	-0.069942719	-0.058042039	-0.058042039	0.46590936	0.895323474
uptag	CRISPRi [RBD2]	TM_3805	ARF1_F1::HXT1_F3	ARF1:HXT1	ARF1	HXT1	YDL192W	YHR094C	95.749	9.490316075	10.86879684	10.9403136	9.420100579	9.563450525	11.41177578	-0.301366543	-1.013041591	-0.869691645	0.686027514	0.929331722
uptag	CRISPRi [RBD2]	TM_0659	SRV2_F1::SRV2_F3	SRV2:SRV2	SRV2	SRV2	YNL138W	YNL138W	93.776	12.02941377	12.14792567	12.28224866	12.04393865	12.14792567	12.10083752	-0.055628754	-0.109257382	-0.005270365	0.61404223	0.905642756
