UP-DN	Condition	Tag	PPI.long	PPI.short	Gene.1	Gene.2	ORF.1	ORF.2	AUC	guide.RBD2.1	guide.RBD2.2	guide.RBD2.3	guide.RBD2.ATC.1	guide.RBD2.ATC.2	guide.RBD2.ATC.3	FC.avg	FC.rep1	FC.rep2	p.val	q.val
uptag	CRISPRi [RBD2]	TM_0671	TCB3_F1::HXT2_F3	TCB3:HXT2	TCB3	HXT2	YML072C	YMR011W	43.568	11.93156241	11.83518195	11.83622134	11.93651526	11.90077877	11.90296544	0.045764587	0.06886002	0.033123539	0.336361827	0.986390772
uptag	CRISPRi [RBD2]	TM_1414	FTR1_F1::FET3_F3	FTR1:FET3	FTR1	FET3	YER145C	YMR058W	28.811	12.00806674	11.90077877	11.8103708	11.9121159	11.88220997	11.9255668	0.000225455	0.005710463	-0.024195465	0.997086137	0.998569142
uptag	CRISPRi [RBD2]	TM_2101	VHT1_F1::TCB3_F3	VHT1:TCB3	VHT1	TCB3	YGR065C	YML072C	29.081	12.37590826	12.26038053	12.25793778	12.39087651	12.23369956	12.26130162	-0.002782964	0.092800987	-0.064375968	0.965512156	0.996056982
uptag	CRISPRi [RBD2]	TM_2066	OLE1_F1::EMC5_F3	OLE1:EMC5	OLE1	EMC5	YGL055W	YIL027C	56.911	11.65725889	11.49924796	11.64841751	11.40295875	11.55722435	11.69503975	-0.049900505	-0.198682707	-0.044417104	0.596092676	0.986390772
uptag	CRISPRi [RBD2]	TM_1792	APL6_F1::CHS5_F3	APL6:CHS5	APL6	CHS5	YGR261C	YLR330W	39.922	12.10201943	12.10264282	11.95514132	11.99546096	12.03540626	12.08286977	-0.015355525	-0.057806892	-0.017861594	0.796354622	0.986390772
uptag	CRISPRi [RBD2]	TM_2703	PEX11_F1::PEX25_F3	PEX11:PEX25	PEX11	PEX25	YOL147C	YPL112C	40.388	11.85972889	11.84055503	11.73834564	11.9594828	11.74645834	11.90322912	0.0568469	0.146606278	-0.066418182	0.450517942	0.986390772
uptag	CRISPRi [RBD2]	TM_2818	CDC39_F1::DEF1_F3	CDC39:DEF1	CDC39	DEF1	YCR093W	YKL054C	31.794	11.89792107	12.06810648	12.2505501	12.05257937	11.9121159	12.13005568	-0.040608896	-0.019613175	-0.160076647	0.714982265	0.986390772
uptag	CRISPRi [RBD2]	TM_2405	OSH7_F1::TCB3_F3	OSH7:TCB3	OSH7	TCB3	YHR001W	YML072C	40.233	11.36654079	12.073461	12.11304213	11.50901619	11.95190392	11.99766171	-0.031487367	-0.341998453	0.100889282	0.901489999	0.988132536
uptag	CRISPRi [RBD2]	TM_1847	PST2_F1::ADE17_F3	PST2:ADE17	PST2	ADE17	YDR032C	YMR120C	57.499	11.67111347	11.78885425	11.81733013	11.48700257	11.73042768	11.54203229	-0.17261177	-0.272096711	-0.028671604	0.074770145	0.986390772
uptag	CRISPRi [RBD2]	TM_1732	RVS161_F1::GYL1_F3	RVS161:GYL1	RVS161	GYL1	YCR009C	YMR192W	24.656	12.49383877	12.6599736	12.70867439	12.51334927	12.60226584	12.64850739	-0.032788088	-0.107479646	-0.018563084	0.664713185	0.986390772
uptag	CRISPRi [RBD2]	TM_1408	PHO88_F1::SPC2_F3	PHO88:SPC2	PHO88	SPC2	YBR106W	YML055W	33.136	12.08415509	12.06393431	11.93886896	12.15337258	12.02947129	12.02884998	0.041578502	0.124386465	0.000485175	0.523039577	0.986390772
uptag	CRISPRi [RBD2]	TM_2641	BRE5_F1::BRE5_F3	BRE5:BRE5	BRE5	BRE5	YNR051C	YNR051C	45.973	12.23022063	11.99546096	12.21557344	12.04241178	12.20065344	11.83856052	-0.119876432	-0.104673228	0.053568424	0.332278353	0.986390772
uptag	CRISPRi [RBD2]	TM_2017	GPX2_F1::HNM1_F3	GPX2:HNM1	GPX2	HNM1	YBR244W	YGL077C	29.181	12.10114403	12.25711279	11.95356596	12.21261797	12.15995541	12.1769315	0.079227363	0.108677043	0.056014478	0.370122981	0.986390772
uptag	CRISPRi [RBD2]	TM_2432	EHT1_F1::YEH1_F3	EHT1:YEH1	EHT1	YEH1	YBR177C	YLL012W	45.134	12.17513367	12.07261275	12.08117272	12.20525361	12.06374335	12.13956201	0.026546613	0.095613901	-0.04589636	0.646904504	0.986390772
uptag	CRISPRi [RBD2]	TM_1709	WBP1_F1::ORM2_F3	WBP1:ORM2	WBP1	ORM2	YEL002C	YLR350W	34.885	11.63000921	11.82262394	11.96542357	11.36981542	11.69675024	11.80474949	-0.182247186	-0.436203479	-0.109268667	0.243666552	0.986390772
uptag	CRISPRi [RBD2]	TM_2457	STI1_F1::STI1_F3	STI1:STI1	STI1	STI1	YOR027W	YOR027W	53.854	11.75481793	11.95514132	12.02051702	11.54203229	12.09884359	12.02386984	-0.021910181	-0.368126464	0.188684837	0.898230546	0.988132536
uptag	CRISPRi [RBD2]	TM_2444	MOT2_F1::CAF40_F3	MOT2:CAF40	MOT2	CAF40	YER068W	YNL288W	65.34	12.15823098	12.01757399	12.16138386	12.1666757	12.08415509	12.03976443	-0.015531207	0.054279421	-0.028241191	0.805731875	0.986390772
uptag	CRISPRi [RBD2]	TM_1973	GPA2_F1::TCB3_F3	GPA2:TCB3	GPA2	TCB3	YER020W	YML072C	30.447	12.18561881	12.1033971	12.20065344	12.02674244	12.14288352	12.24269777	-0.025781874	-0.13648068	-0.020339594	0.71335145	0.986390772
uptag	CRISPRi [RBD2]	TM_2484	ITR1_F1::FTR1_F3	ITR1:FTR1	ITR1	FTR1	YDR497C	YER145C	45.431	12.41363674	12.23787717	12.17953593	12.33212049	12.32370219	12.31540433	0.046725725	0.055103875	0.046685581	0.516687666	0.986390772
